	Log2(FC)	Log10(Adj. P-value)
Gm6085	-1.062024	1.493242
Als2	-1.08821	2.555619
9330151L19Rik	-1.099651	1.714511
Peo1	-1.124629	5.223273
Ap3b2	-1.154423	2.442334
Edn1	-1.307156	3.13037
Tubg2	-1.386528	1.466544
Zfp551	-1.498565	1.704271
Nr1d1	-1.590656	4.050139
RP24-150H14.2	-1.716042	2.847904
Jrk	-1.794279	1.612756
Gm4419	-2.0664	2.185128
Gm9727	-2.868437	1.410534
Pantr1	-3.002032	1.633702
Gm9812	-3.138223	1.760154
Gm10401	-4.551999	1.865884
Lnx2	0.533882	4.984778
Cpeb4	0.565491	4.602644
Mafg	0.434219	3.458958
Tmcc3	0.454146	2.992205
Zfp217	0.521793	2.792116
Eprs	0.396683	2.745448
Tmem80	-0.536737	2.676833
Zmynd8	-0.386048	2.556629
Rock2	0.356426	2.485044
5031425E22Rik	-0.581725	2.471791
Mmp14	0.498595	2.347939
Chd1	0.412894	2.334
Golph3l	-0.366786	2.276935
Tle3	0.490676	2.146366
Spry2	0.564959	2.144671
PISD	-0.565734	2.13513
Rbm45	-0.437988	2.089
Ier2	0.524306	2.0339
Zc3h4	-0.439282	2.012297
Hivep2	0.383458	1.994071
Srrm1	0.333607	1.950943
Atf7ip	-0.364221	1.950943
Gtpbp4	0.367398	1.949551
Pde12	0.517468	1.931431
Skil	0.543321	1.928785
Cnppd1	-0.364838	1.880801
Prkcz	-0.420939	1.865884
Brwd3	0.511844	1.852528
Rnf186	-0.419336	1.8102
Ube2f	0.328547	1.803655
Hk2	0.448442	1.795379
Irf9	-0.467386	1.795379
Cerk	0.486498	1.776747
Coq10b	0.556924	1.775059
Pcgf3	0.493036	1.775059
Col1a2	0.470219	1.775059
Arl4a	0.395604	1.775059
Mrpl19	-0.547726	1.775059
Atg14	-0.556274	1.775059
Mrps31	0.554988	1.766786
Arl5b	0.533276	1.755165
Mphosph10	0.530634	1.735413
Pip5k1b	0.456435	1.735074
Ets2	0.469134	1.689651
Jun	0.447845	1.666145
Fkbp15	-0.38552	1.664575
Desi2	0.429515	1.659502
Sos1	0.501961	1.639267
Tob2	0.560774	1.612756
Pcyox1	0.385661	1.608067
Ppp1r15b	0.444431	1.580956
Usp46	0.533102	1.579914
Zbtb11	0.506518	1.579914
Aff4	0.367091	1.579914
Epc1	-0.397739	1.54154
Stk40	0.367151	1.537976
Gle1	-0.485953	1.526221
Mcl1	0.36789	1.513204
Slc30a1	0.51547	1.513023
Utp14b	0.434342	1.510975
Metrnl	0.535678	1.499989
Lin54	0.515867	1.49782
Zak	-0.408345	1.493242
Smtn	-0.452193	1.493242
Oaf	0.55866	1.483868
Zfp518a	-0.475963	1.441954
Dazap1	-0.307904	1.438591
Nrde2	-0.573966	1.438591
Kdm6b	0.567468	1.43766
Yeats4	-0.373927	1.43766
Mafb	0.544871	1.410534
Purb	0.233296	1.40389
Vegfa	0.539493	1.398036
Nt5dc3	0.573374	1.387931
Mef2d	0.397458	1.387931
Rab17	-0.580623	1.387931
Cmah	0.550209	1.386118
Vcan	0.536554	1.365979
Vamp1	-0.474404	1.323113
RP24-176F12.12	-0.861258	1.29544
Cpped1	0.53016	1.285291
Yaf2	0.45999	1.280125
Brd9	-0.382475	1.280125
Slc6a4	-0.691042	1.280125
Bag3	0.34337	1.279958
Zxdc	-0.552726	1.279958
Sirt1	-0.541562	1.279106
S100a14	0.528551	1.269944
Spty2d1	0.365364	1.268463
Bsn	-0.803957	1.268463
Dleu2	-0.42832	1.263406
Dlc1	0.409528	1.263384
1700030K09Rik	-1.090693	1.255752
Per1	0.686238	1.255231
Hsd11b1	0.670746	1.255231
Pmepa1	0.385245	1.252399
Nfic	0.374802	1.252399
Crk	0.299432	1.252399
Stard10	-0.477067	1.252399
RP23-16D16.12	-1.687247	1.252399
Tuba4a	0.407849	1.247968
Mex3c	0.61417	1.247437
Txnl4b	-0.901978	1.241401
Hjurp	-0.346462	1.236477
Sfrp1	-0.441539	1.234116
Lbh	-0.536338	1.234116
Ubald2	-0.573304	1.234116
Tns1	-0.294588	1.233327
RP23-407E2.27	1.860732	1.226177
Pigm	0.443096	1.226177
Gpr108	-0.273626	1.226177
Zcchc7	-0.288986	1.226177
Derl3	-1.393481	1.226177
Slc25a17	0.380264	1.206061
Mki67	-0.532409	1.20543
Smarcb1	-0.426061	1.203674
Tmem139	0.406625	1.201987
Arid4b	0.319274	1.200917
Ccrl2	0.947722	1.196483
Psmd5	0.548937	1.196483
Fcgbp	-0.481267	1.196483
Arrdc2	-0.801874	1.196483
Gm8185	-2.723814	1.196483
Lnx1	0.591891	1.178274
Camkmt	-2.161964	1.177533
Bbc3	-0.610852	1.177448
Mex3d	0.74308	1.172973
Acsl4	0.539677	1.172973
Pcdh7	0.422391	1.172973
Ifrd1	0.408018	1.172973
Ubxn8	-0.379721	1.172973
Ccdc130	-0.595558	1.172973
Tada3	-0.63428	1.172973
Trim61	1.088083	1.170252
Smim20	-0.357435	1.170252
4732465J04Rik	-1.046641	1.168605
D430001F17Rik	-0.850709	1.168299
Thrb	0.410847	1.166839
Nup88	0.617781	1.164405
Gm5431	-1.296697	1.160197
Gm24916	2.725516	1.159168
Cckar	-0.665013	1.159168
Usp38	0.502297	1.157412
Grasp	0.664788	1.156801
Mcam	0.603419	1.156801
Idua	-0.57521	1.148784
Gm14207	-0.796627	1.148784
RP23-463E8.1	-1.337667	1.146501
Vangl2	0.697606	1.14306
Prdm2	-0.441383	1.14306
Pigv	-0.478031	1.14306
Clec2e	-0.636074	1.14306
Zc3h6	-0.727141	1.14306
Zfp579	-0.749722	1.14306
Ankrd37	-1.001247	1.141672
Cd300ld	0.863271	1.139762
Zfp532	-0.378079	1.139762
Coa4	-0.5388	1.139762
Rpp40	-0.654322	1.139762
Ighg2b	1.542327	1.138011
Smim3	0.565438	1.137873
Puf60	-0.351485	1.136906
Mapk1ip1	-0.475724	1.133566
Trim72	-1.123739	1.133566
Tmc7	1.162644	1.13355
Itga6	0.261182	1.13355
Zfp329	-0.339543	1.131219
Gm13803	-1.300903	1.131219
Rgl2	-0.479134	1.130396
Cenpf	-0.413217	1.12938
Commd7	-0.282973	1.128825
Drosha	-0.390912	1.128481
Kdm7a	0.305136	1.123427
Pim3	0.686847	1.122973
Cspg4	0.603014	1.120883
Cdc25a	0.37054	1.119732
Hist1h4j	-1.788219	1.119732
Myl9	-0.374185	1.117813
Gm20522	-1.702656	1.111856
Fbxl12os	-1.761693	1.102962
Med13	0.32663	1.100344
Arhgef39	-0.351461	1.099936
Clock	0.483422	1.097377
Letm2	-0.936317	1.097377
Ankrd46	-0.404024	1.094037
Ripk4	0.49253	1.089894
S1pr1	0.720695	1.08987
Per2	0.633801	1.085507
Pgrmc1	0.461616	1.08507
Fmo2	0.420318	1.08507
Tlk1	-0.320528	1.08507
Dusp26	-0.737777	1.08507
mt-Tf	2.125293	1.081607
Tmem100	0.590558	1.081607
Mepce	-0.408431	1.081607
Lypd6b	-0.893667	1.081607
Endov	-0.801362	1.081081
Tsc22d3	0.503896	1.078749
Acsl3	0.325726	1.078749
Ccna2	-0.525833	1.078749
Pex11a	0.281138	1.076284
Gm20467	0.905318	1.068206
Dcun1d3	0.617233	1.068206
Enho	0.676827	1.062146
Hmgcr	0.353362	1.062146
E230013L22Rik	-0.952535	1.060123
Nfe2l2	0.353147	1.059685
Slc30a10	-0.749643	1.059685
Akirin2	0.447919	1.059631
Gm26610	-1.413651	1.059631
Mptx1	-1.869308	1.059631
Gm20463	-3.304135	1.059631
Arid5a	0.846227	1.058636
Btg1	0.546706	1.058636
Derl2	-0.27424	1.057101
Zfp455	-1.341788	1.056853
RP23-79K5.3	-2.452412	1.042385
Fuk	0.418714	1.025096
Trim6	0.806114	1.024179
Zfp41	-0.826941	1.024179
Lppr3	1.155032	1.018744
Racgap1	-0.531573	1.018744
Efhd2	0.342675	1.018278
Nrarp	0.519862	1.017373
Cbfa2t3	-0.382245	1.016744
Rhebl1	-0.613678	1.016744
Urb2	0.803787	1.012786
Polk	0.573046	1.012786
Pi4k2b	0.485795	1.012786
Ptov1	-0.428164	1.012786
Gprasp2	-0.518284	1.012786
Wbscr27	-0.482132	1.011734
Rnu5g	-2.561759	1.011734
5033428I22Rik	-2.561829	1.011734
Ahdc1	0.524569	1.010757
Pex3	0.457445	1.009998
Dynlrb2	-2.786287	1.004616
Zfp703	0.451704	1.004339
Hoxd11	0.562179	1.004253
Prmt3	-0.411279	1.004253
Kras	0.419468	1.002153
Smad5	-0.268858	1.002153
Ice2	-0.374279	1.002153
Alg6	-0.468158	1.002153
Zfp808	-2.570464	1.002153
Ypel3	-0.429934	0.989508
Fbxl22	-0.530572	0.978968
Senp6	0.352202	0.978644
Foxf1	0.448574	0.97604
Fst	0.759324	0.974945
Zfp512	-0.403763	0.974945
Gm15998	-0.761076	0.974716
Top1	0.275718	0.96299
Klhl35	-2.557066	0.960124
Pold1	-0.736483	0.95829
Klhl42	0.645489	0.954773
Usp12	0.62864	0.954773
Dnaja2	0.322105	0.954773
Hgfac	-0.321014	0.954773
Rab11b	-0.361084	0.954773
Zfp874b	-0.631255	0.952621
Acer3	0.660438	0.951737
Nfrkb	0.609662	0.951737
Cpe	-0.315551	0.951737
Prelp	-0.378929	0.951737
Prmt5	-0.425089	0.947718
RP24-571N3.1	1.028769	0.94536
Capn3	-1.151536	0.94536
Ppp1r14c	1.553011	0.945089
Kdm1a	0.465762	0.945089
Abtb1	-0.522066	0.945089
Sulf1	0.655037	0.945008
Ing2	0.337331	0.945008
Zfp322a	-0.296707	0.945008
D3Ertd254e	-0.471086	0.945008
Aatf	-0.599053	0.945008
Zkscan5	-0.879144	0.945008
Cenpk	-0.820878	0.94491
Ddr1	0.400235	0.940985
Golga1	-0.345117	0.940985
2310001H17Rik	-0.431249	0.937628
N6amt2	-0.586431	0.937445
Rin1	-0.721064	0.937205
Efhb	1.382172	0.936581
Gm29666	-1.299616	0.93278
Nrxn2	-0.687358	0.932689
Hs3st1	0.795197	0.931888
Nfyc	-0.577005	0.931452
Fbxo32	-0.411134	0.929546
Rpl41	-0.488118	0.929546
Rsph9	-1.088599	0.929546
Ube2l3	-0.277651	0.925456
Cdc20	-0.618194	0.925456
Nid2	0.817572	0.923585
Col4a5	0.789603	0.923585
Nus1	0.471964	0.923585
Tcf7l2	-0.22007	0.923585
Aspg	-0.446327	0.923585
Mcm7	-0.431623	0.923216
Pdrg1	-0.458211	0.922639
Grip2	-1.07501	0.922639
Rnf123	-0.568387	0.919185
RP23-73N8.1	1.036157	0.915046
1810055G02Rik	0.593469	0.914089
Pnpt1	0.557035	0.914089
Ezh1	-0.347947	0.91392
Osbpl2	-0.250013	0.911307
Pln	-0.415745	0.911307
Ybey	-0.646985	0.911307
Gm26735	-3.910226	0.911307
Pdk4	1.385733	0.907949
Ell	0.503287	0.907949
Mast1	-2.062661	0.907949
Gm15564	-2.941231	0.907949
Dusp8	0.626573	0.905955
Irf7	-0.581029	0.900764
Zfp213	-1.057019	0.898659
Cbl	0.430254	0.893323
Upk1a	-0.520122	0.893323
Acad11	0.441022	0.891009
Dusp5	0.842829	0.888626
Rtn4rl1	0.525371	0.887876
Sbds	0.438458	0.887876
Cebpg	0.377991	0.887876
Mprip	-0.243012	0.887876
1810058I24Rik	-0.325083	0.887876
Cnpy3	-0.359789	0.887876
Hsph1	-0.451368	0.887876
Vsig2	-0.562378	0.887876
Atp6v1g2	-0.752325	0.887876
2810030D12Rik	-0.876875	0.887876
Oas1c	-1.285357	0.887876
Rcan2	-0.69455	0.885809
Ap1g2	-0.365845	0.885689
Napb	-0.462687	0.882445
Tceb3	0.390112	0.881155
Srcap	-0.339249	0.879108
Rpl7a	0.51772	0.877703
Ednrb	0.460967	0.877703
Ang4	-1.352214	0.877703
Cthrc1	-2.239626	0.877703
Impad1	0.308036	0.873689
Rbbp5	-0.363798	0.873689
Gm25206	2.520402	0.872229
Sntb2	0.583772	0.872229
Tet2	0.361602	0.872229
Dyrk1b	-0.981885	0.872101
Gm19744	2.534641	0.871176
Dcaf5	0.363392	0.870222
Smim13	0.358489	0.865875
Gm12258	-0.797818	0.865875
Slc35g2	0.76981	0.865819
Ptp4a3	-0.545611	0.865819
Epb4.1l5	0.404957	0.861443
Mov10	-0.771064	0.861443
Nadk	0.346542	0.861153
Etaa1	-0.567844	0.861153
Smarcd3	-0.794443	0.861153
Tbce	-0.406163	0.859745
BC016579	0.616325	0.859281
Cdc42se1	0.48488	0.859281
Mier3	-0.414186	0.859254
4930539E08Rik	-0.566343	0.858882
Rab8b	0.609631	0.857425
Ddc	-0.284566	0.857425
Galnt3	0.489546	0.854951
Ppp1r2	0.383156	0.854951
Ccnb2	-0.591972	0.854951
Adap2	0.496898	0.85474
Xndc1	-0.553171	0.85474
Apaf1	0.685002	0.853282
Clptm1	-0.424369	0.853282
Zfp583	-1.795587	0.853282
Rgs14	0.887198	0.852971
Fam208b	0.603084	0.852971
Dsc2	0.355394	0.852971
Ano2	-1.954782	0.852971
Fbxw5	-0.403842	0.85198
AI837181	-0.428302	0.85198
Megf8	-0.508313	0.85198
Armcx6	-1.35728	0.85105
Hoxb5	-0.47627	0.851032
Dhx34	-0.789296	0.851032
6330419J24Rik	-0.99084	0.851032
S100g	-0.856214	0.850472
Ube2w	0.425866	0.845252
Mfap1a	-0.321563	0.845252
Gon4l	-0.38168	0.844019
Zfyve26	-0.543912	0.844019
Cnst	-0.388595	0.8398
Ccnc	0.365196	0.839122
Rab11b-ps2	-2.56112	0.83878
Ephb4	0.446357	0.838507
Lrp6	0.313212	0.838507
Gm4790	-0.349248	0.838507
Gm12276	-1.390923	0.838507
Ceacam12	0.791691	0.83673
Atl2	0.504933	0.83673
Yes1	0.470429	0.83673
Sin3a	0.340426	0.83673
Grb7	-0.35415	0.83673
Rpl9-ps6	-0.421253	0.83673
AC102860.3	-2.379388	0.83673
Gm26892	-2.3802	0.83673
B4galt2	-0.582915	0.833947
Klf6	0.324533	0.831379
Nckap1	-0.27564	0.830687
Zkscan8	-0.503726	0.830687
Ephx1	-0.527195	0.830687
Dapk3	-1.06505	0.830285
Bcap31	-0.220173	0.826974
Nab2	0.709199	0.82679
Hhatl	-0.928897	0.82679
Chd9	0.333371	0.826117
Smyd2	-0.379159	0.826117
Melk	-0.669389	0.826117
Gm166	-1.277055	0.826117
Mgarp	1.16272	0.824235
Hs6st1	0.377273	0.824235
Lhfpl2	-0.412568	0.824235
Isoc2b	-0.674548	0.824235
Gpr174	-2.325344	0.824235
2010106E10Rik	-2.379977	0.824235
Csnk1e	0.485441	0.823808
Pfkfb3	-0.572787	0.8218
Cenpn	-0.804438	0.821691
Trpm6	-0.635099	0.817206
Prc1	-0.493076	0.815228
Cenpt	-0.966608	0.815228
Pitx1	0.515501	0.814215
Rnf220	-0.286469	0.814215
Arl6ip6	0.39583	0.813981
Nfat5	0.379037	0.81238
Gpc4	-0.506935	0.81118
Cyth1	0.740185	0.809034
Coa7	-0.435642	0.809034
Ubiad1	-0.539724	0.809034
Rpusd1	-0.884075	0.809034
Ddit4l	-1.195828	0.809034
Art4	-1.362932	0.809034
Slc25a16	0.529403	0.805937
Gadd45a	0.498922	0.805937
Usp42	0.352353	0.805937
Polr2a	-0.303335	0.805937
RP23-186E14.5	-0.968208	0.805937
Adra1a	-1.825936	0.805937
Ccdc28a	-0.360462	0.802769
Dctn4	-0.29126	0.801233
Cnksr1	-0.461606	0.801233
Nsl1	-0.85686	0.801233
Neil2	-1.063575	0.801233
Lrp2	-2.377164	0.801233
Lzic	0.786738	0.798711
AW146154	-0.478008	0.798711
Qsox1	-0.325894	0.796435
Calhm2	-0.650477	0.795755
Crisp3	-2.427473	0.792648
Fam179b	0.336861	0.791168
Uck2	0.283221	0.791168
Rrp1	-0.332027	0.790478
C87436	-0.739881	0.7894
Yrdc	0.401516	0.787851
Baz2a	0.330921	0.786697
Knstrn	-0.577235	0.786697
Cdk5rap2	-0.632405	0.786697
Vpreb3	-2.368087	0.786697
Vit	0.857589	0.784212
5730480H06Rik	1.260246	0.783047
RP23-388I22.1	2.368496	0.782902
Mpp2	1.121033	0.782902
Fam214a	-0.4494	0.782902
Uqcc2	-0.438182	0.780625
Ptpn12	0.340276	0.777127
Colec10	-0.452856	0.777009
Ulk4	-2.053899	0.777009
Gatc	0.550977	0.775861
Parp10	-0.507075	0.775861
Fhad1	-1.061405	0.775861
Wscd2	-0.663075	0.775324
Usp22	0.25457	0.774946
Gm11945	-1.278949	0.774946
Ttll7	-0.357208	0.773992
Tmem221	2.421837	0.77281
Qrich1	-0.388968	0.77281
Pank3	0.332392	0.772796
Syngr3	-0.73291	0.772796
RP23-323H18.2	0.615686	0.771111
Bmp5	0.546348	0.771101
Rgs4	-0.467261	0.771101
Cenpo	-0.740873	0.771101
Dnajc21	0.277443	0.770772
Gusb	0.361109	0.769467
Senp2	0.332554	0.769467
Fam26e	-0.545832	0.769467
4930518I15Rik	-0.716585	0.769467
Snx7	0.662903	0.768772
Mlx	0.468733	0.768772
Zfp445	1.286368	0.767065
Cyp2d12	-1.258314	0.767065
Efna3	1.055448	0.766606
Acvr2b	-0.751553	0.766606
Slc16a9	0.626063	0.765318
Plekha7	0.330995	0.765318
Rnf167	-0.335048	0.765318
Farp1	-0.379404	0.765318
Scube2	-0.738407	0.765318
Upk3b	-0.933401	0.765318
Erdr1	-1.726859	0.765318
F3	1.193842	0.763633
Gm13736	2.425908	0.762254
Arfrp1	-0.265625	0.762254
Nkiras1	0.431883	0.761049
Tmem110	0.377747	0.761049
Stx18	-0.510152	0.761049
Ttk	-0.585424	0.761049
Ahrr	-0.938	0.761049
Cutc	-0.406679	0.759928
Abhd10	-0.517077	0.759928
Cyp4f13	-0.476496	0.759444
Gm26724	-2.864673	0.758623
Ripk2	0.551841	0.755304
Ddx3x	0.376269	0.755304
Fosl2	0.325793	0.755304
Crebrf	-0.314969	0.755304
Fam189a2	-0.421941	0.755304
Cdca3	-0.436627	0.755304
Nusap1	-0.504575	0.755304
Det1	-0.560284	0.755304
Pcsk1n	-0.792135	0.755304
Begain	-1.78832	0.755304
Tnfrsf10b	0.656631	0.755029
Spata6	0.568575	0.755029
Zfp385b	0.520059	0.755029
Adamdec1	0.3231	0.755029
Ibtk	0.248112	0.755029
Lace1	-0.482275	0.755029
Kcnd3	-0.492241	0.755029
RP24-540L1.3	-1.160225	0.755029
Pla2g4c	-1.233704	0.755029
Gm12098	-1.363057	0.755029
Irs2	0.571399	0.752423
2810021J22Rik	-0.909517	0.752183
Rcor1	0.357738	0.751285
Cript	-0.292495	0.751285
Slc38a9	-0.309574	0.751285
Ptprr	-0.44842	0.751285
Stk32c	-1.096644	0.751285
Irf2bpl	0.296851	0.749724
Carhsp1	-0.278847	0.748302
Gm5426	-2.30279	0.74807
Ccdc58	0.539369	0.747952
Hpse2	1.976321	0.747833
Ifi27	-0.288199	0.747833
Apol9b	-1.808153	0.747833
Mapk15	-1.645055	0.747517
Pqlc1	0.254361	0.74725
Fbxl15	-0.677117	0.74725
Cfap45	0.901508	0.746327
Rnf130	0.836133	0.746327
St6galnac2	-0.344323	0.746327
Ano7	-0.434311	0.746327
Entpd7	0.669472	0.745773
Ttc39b	0.324718	0.745656
Tsc22d2	0.360607	0.744283
Ube2z	0.295685	0.744283
Zkscan1	-0.239906	0.744283
Appl2	-0.262695	0.744283
Zfp467	-0.275809	0.744283
Necap2	-0.300437	0.744283
Sectm1b	-0.446703	0.744283
Fbxo2	-0.74711	0.744283
Lsm8	0.483567	0.744097
C2cd2l	0.375257	0.744097
Zfc3h1	0.359581	0.744097
Plekha6	-0.220056	0.744097
Add1	-0.256013	0.744097
2310061I04Rik	-0.288945	0.744097
Calcoco1	-0.451911	0.744097
Gm9994	-1.955772	0.744097
Npas2	-0.610669	0.743454
Ucp3	2.340538	0.742478
Scnn1g	1.521747	0.742478
Serpine1	0.921947	0.742478
C77080	0.293985	0.742478
Tmem220	-0.473162	0.742478
Plcl1	-0.56448	0.742478
5430427O19Rik	1.425097	0.742034
Tmem165	0.391568	0.74
Polr3k	0.356953	0.74
Stradb	-0.275462	0.74
Amz2	-0.33248	0.74
Tln1	-0.343428	0.74
Sesn1	-0.518181	0.74
Chchd6	-0.611107	0.74
Mkl2	-0.295997	0.739191
Pdcd2l	0.654175	0.739076
Ammecr1l	0.25059	0.738436
Klk1	-0.278658	0.738359
A930024E05Rik	-1.212329	0.73703
A130014A01Rik	-0.639336	0.736545
6330403A02Rik	-0.637633	0.736039
Tnni1	-0.503019	0.733069
Lhpp	-0.653083	0.733069
Gm19427	1.002045	0.729583
Procr	0.311242	0.729516
Pid1	-0.293653	0.729516
Crim1	0.269441	0.729389
Hpd	-0.500287	0.726277
Arid4a	0.252141	0.7253
Vip	-0.33393	0.724563
Mtss1l	-0.478909	0.722698
Plxna3	-0.684615	0.722698
Rtel1	-0.582909	0.721458
Gm17300	-2.708331	0.721458
Gzmb	1.62916	0.721129
Brpf1	0.312241	0.718569
Rps11-ps2	-0.938733	0.716369
Pim1	0.413161	0.714671
Gata5	-1.580188	0.71314
Slc6a6	0.328282	0.711959
Pin1	-0.407903	0.711523
Smim15	0.324176	0.705596
Polr3h	-0.403541	0.705596
Zfp518b	-0.673459	0.705596
Pten	0.258626	0.702149
Ier5	0.408234	0.701559
Zfp580	-0.709909	0.701559
Lep	1.574947	0.699641
Npl	1.66313	0.698765
Inafm1	-0.322021	0.698765
Alkbh3	-0.416554	0.698765
4631405K08Rik	-0.882109	0.698765
Aspm	-0.480326	0.69875
Fahd1	-0.391866	0.698475
Ascc2	-0.323434	0.695521
Fam102a	0.410993	0.694997
Mmrn2	-0.431188	0.694997
Ccdc134	-0.569521	0.694997
Stk17b	0.322779	0.694449
Abcg8	-0.69947	0.692569
Zfp101	-0.57718	0.692424
Prss22	2.415032	0.692181
1700011A15Rik	2.185395	0.692181
Gm17281	2.185077	0.692181
Gypa	2.185006	0.692181
1810006J02Rik	2.184919	0.692181
Gm15197	2.184718	0.692181
Lta	2.184424	0.692181
Spag6	2.18429	0.692181
Limd1	0.255121	0.692181
Ppp4r1l-ps	-0.346673	0.692181
Slc2a5	-0.569958	0.692181
Kantr	-0.723571	0.692181
Tie1	-0.735763	0.692181
Prph	-0.391138	0.69189
Pafah1b2	0.285357	0.691556
Apobec1	0.459453	0.690554
Gm15655	-3.088963	0.690554
Rb1	0.331058	0.68996
Pcdhga6	-0.921452	0.689195
2810459M11Rik	-0.347534	0.688958
Thbs1	0.575984	0.686737
Comtd1	-0.452035	0.686737
