	Log2(FC)	Log10(Adj. P-value)
Jun	0.609021	3.362516
Spry2	0.602819	1.573368
Zfp623	0.600637	2.326887
Foxf1	0.599921	2.027627
Kat2a	0.596607	1.352894
Pkia	0.591351	1.352894
Itga7	0.590725	1.618628
Zfp568	0.588454	1.715661
2410006H16Rik	0.584279	1.88195
1110038F14Rik	-0.485669	1.62435
2210015D19Rik	-0.487098	1.382246
Ccdc66	-0.496938	1.985543
Cipc	-0.51917	1.603394
Eif2d	-0.523351	1.337172
Tmem106a	-0.526459	1.715661
Zfp329	-0.528255	3.071257
Cenpf	-0.552161	1.985543
Tmem80	-0.557505	1.669153
Mier3	-0.588854	1.913948
Anks4b	-0.59078	3.353708
Epc2	-0.591593	2.924411
Rnf186	-0.598852	4.403165
Srcap	-0.607153	4.412388
Aspm	-0.64823	1.552666
Mettl14	-0.660961	1.379097
Slc13a1	-0.683021	1.791814
Tmem184c	-0.688168	1.469186
RP23-423B1.6	-0.690974	1.472512
Suv420h1	-0.705385	6.241253
Dis3l	-0.727093	1.552666
Ugt1a6a	-0.734374	1.871577
Larp7	-0.737067	1.99099
Ccdc116	-0.776778	1.701197
5530601H04Rik	-0.778237	1.856041
Trim65	-0.780309	2.680906
RP23-123O12.2	-0.816057	1.792574
Gm26814	-0.819919	1.791814
Grin3a	-0.822593	1.988467
Dbp	-0.910086	5.036909
Ing5	-0.944715	4.184998
D430001F17Rik	-0.978675	1.472512
Gm15998	-0.991146	1.390287
2010003K11Rik	-1.019634	1.814228
Ccdc125	-1.0383	1.422295
RP24-511H12.2	-1.204221	1.758739
Kif18b	-1.328765	1.655236
Gm12258	-1.52831	3.313366
RP24-150H14.2	-1.602885	3.071257
Gm26205	-1.649623	8.128939
Snora21	-1.811633	1.603394
5430427M07Rik	-1.864915	1.871577
Gm23639	-1.913544	2.976641
Tat	-2.121874	1.45818
Gm22748	-2.32307	6.524349
Snora30	-2.441896	8.179385
Gm25395	-2.619072	1.892166
Gm24119	-2.796841	3.038183
RP24-323I23.1	-2.981227	1.363528
Arl4a	0.563632	3.685713
Ncoa7	-0.450387	3.020534
Mknk2	0.57011	2.581452
Zfp217	0.496078	2.423985
Taf1d	0.487782	2.326887
Per3	-0.469752	2.326887
Tprn	0.570785	2.289996
Zfp36l1	0.526171	2.270364
Hk2	0.5047	2.160834
Dnajb4	0.563291	2.112006
Ankrd10	0.453654	1.847191
Mpzl1	0.470802	1.839192
Tuba4a	0.475912	1.733642
Hjurp	-0.410678	1.715661
Wipi1	0.341997	1.697762
Nop10	0.477244	1.689181
Nfkbia	0.469681	1.663219
Rab12	0.427713	1.654105
Ppp1r1b	0.368436	1.619074
Ppp1r10	0.458644	1.601965
Plet1	0.472768	1.575639
Btbd3	0.509782	1.557627
Tmed4	0.526732	1.552666
Slc30a1	0.534372	1.490865
Map2k7	-0.371531	1.472375
Rab3a	0.46416	1.464916
Ctcf	-0.360888	1.407704
Gpr20	0.518189	1.392094
Kcnk1	0.394739	1.392094
Ube2f	0.307795	1.382246
Ino80	-0.401976	1.382246
0610005C13Rik	-0.456296	1.382246
Vsig10	-0.479221	1.382246
Mib2	0.552011	1.379097
Gm13889	0.55636	1.374762
Rgs2	0.500109	1.363575
Emc6	0.456563	1.352894
Gabpb2	-0.423445	1.352894
Nkx2-3	0.437034	1.345873
Errfi1	0.561391	1.345479
Stk35	-0.436303	1.337172
Trim27	0.44954	1.334608
1500012F01Rik	0.348782	1.334608
Pnisr	-0.347881	1.334608
Zfp943	-0.46359	1.334608
Tph1	0.491235	1.326449
Saraf	0.417055	1.326054
Coq7	-0.317152	1.326054
Mgat1	0.407725	1.325815
Mef2d	0.426069	1.306888
Rab40c	0.462926	1.296439
Rprd2	-0.337266	1.296439
Clpb	-0.452015	1.295532
Lxn	-0.786775	1.292524
Ndc80	-1.063672	1.288066
Kcnk5	0.411704	1.281549
Zfp644	-0.336498	1.278663
Dhx36	-0.375966	1.278663
Pvrl2	0.309283	1.271703
Nit1	0.376409	1.27057
Zfp280d	-0.387316	1.27057
Crebbp	-0.239064	1.269545
Slc25a33	0.542124	1.268927
Irf2bpl	0.381904	1.268927
Gm5602	-1.562197	1.259302
Plau	1.042418	1.258154
Lonrf3	1.361379	1.250769
Plcd3	1.266365	1.250769
Bcl6	0.516742	1.250769
AI480526	-0.488375	1.250769
Zfp784	-0.69683	1.250769
Crispld2	0.455909	1.247775
Gm24616	-1.437376	1.239386
Rasl11b	0.667232	1.234702
Slc25a25	0.523726	1.234702
Nfkbiz	0.446895	1.234702
Tmcc3	0.339187	1.234702
5031425E22Rik	-0.534089	1.234702
Dnajc16	0.487876	1.234555
Serinc3	0.33796	1.234555
Kat6b	-0.38956	1.234555
Ly6c1	0.399837	1.229831
Cry2	0.485361	1.188731
Klc1	0.426038	1.185236
Iapp	-0.895651	1.183378
Rab11fip2	-0.491393	1.182986
Mon1b	-0.575154	1.177824
Dusp5	1.003938	1.165714
Ifrd1	0.443902	1.165714
Hist2h3b	2.123713	1.164554
Dip2b	-0.431716	1.157811
Vcam1	0.606441	1.140069
6720427I07Rik	-0.483646	1.140069
2410016O06Rik	0.460799	1.13802
Ankrd32	-0.484218	1.13802
Hist1h2bg	2.288774	1.132746
9130017K11Rik	-0.628228	1.131925
Sstr1	-0.598095	1.131051
Tnfaip8l2	-1.457716	1.131051
Dcp2	0.34611	1.12737
Pigf	0.60615	1.123712
Fam83f	0.536016	1.123712
Hs2st1	-0.575315	1.123712
Itln1	1.314183	1.122608
Jdp2	0.609111	1.097821
Rhob	0.521388	1.097821
Fuk	0.432202	1.097821
Myom3	0.904283	1.096682
Sh3bp4	0.538468	1.096682
Wisp1	0.738791	1.096532
Slc35b2	0.446947	1.0934
Nbn	-0.546077	1.0934
Chka	0.44112	1.092329
Efna3	1.124004	1.083077
Ripk4	0.491439	1.083077
Rnf122	0.715218	1.077923
Mier1	-0.280145	1.07188
Sertad3	0.656615	1.071485
9030622O22Rik	0.839277	1.066232
Iws1	-0.412933	1.066069
Abhd8	0.805203	1.063542
Nol4l	0.317038	1.062259
Zfp110	-0.367412	1.062259
Far2	-0.59575	1.062259
Gtf2e2	0.44773	1.061191
Scamp1	0.423439	1.058084
2810459M11Rik	-0.400124	1.055502
Sik2	0.472202	1.054792
Col16a1	0.478812	1.047367
Igsf11	-2.379187	1.043963
Gm20706	-1.260449	1.042966
Gm24289	-1.367519	1.03837
Gm13203	-2.521405	1.037386
Stard9	-0.586805	1.036291
Hmgcl	0.587168	1.022514
Bptf	-0.230042	1.022514
Tsc1	-0.344542	1.022514
Maoa	-0.456298	1.022514
Fgd6	-0.487853	1.022514
Ccr2	-0.953808	1.019721
C5ar2	-2.705641	1.019721
Hyal2	0.563802	1.01654
Rhoj	0.308141	1.01654
Cep135	-0.576797	1.01654
Ednrb	0.473232	1.014173
Met	-0.397041	1.014173
Hist1h1a	-1.217973	1.014173
Pld5	-1.24031	1.014173
5430402O13Rik	-2.751082	1.013037
Myo19	-0.382952	1.008276
Rasa2	-0.475146	1.008276
2700062C07Rik	-0.684618	0.998373
Zfml	-0.360826	0.990362
Pja1	0.308529	0.989418
Zfp518a	-0.472844	0.989418
Etv1	-0.625158	0.989418
Tfrc	0.433802	0.979233
Phf20l1	-0.261348	0.978815
Fosb	1.46599	0.976675
Eml2	0.657679	0.976675
Crebrf	-0.366776	0.976675
Dpyd	-0.622029	0.976675
Zscan12	-0.880757	0.976675
Fzd10	-1.835953	0.976675
Ogg1	0.689015	0.970789
Hpdl	0.693541	0.968512
Zcchc2	0.351558	0.968512
RP23-82P18.4	-1.048649	0.968512
Ankrd34a	1.442366	0.965694
Pllp	0.406538	0.964671
Prdm2	-0.395003	0.964671
Upf3a	-0.628579	0.964671
Gm14813	-2.397675	0.964671
Tpst2	0.454851	0.964493
D030028A08Rik	0.74535	0.960049
Slc10a2	-0.641933	0.959909
Caskin2	0.326575	0.959311
Slc5a9	-0.539104	0.9589
Tcrg-V1	-2.381059	0.9589
Defa3	1.617407	0.956533
Uck1	0.441945	0.956533
2610008E11Rik	-0.565798	0.956285
Srsf9	0.458626	0.945091
CAAA01187608.3	1.362154	0.9427
Mars2	0.422713	0.9427
Stk11	0.284044	0.9427
H2-T3	-0.393598	0.941362
Sh3rf1	0.40085	0.938383
Nedd9	0.384115	0.938383
RP23-327M13.3	-1.020712	0.938383
Sema4c	0.703639	0.938102
Ramp1	0.278756	0.937782
Rep15	-0.520904	0.936
Enah	0.35106	0.933118
Bhlhe41	-0.754341	0.933118
Anks6	0.652731	0.932419
Gramd1a	0.657797	0.923638
Hs6st1	0.404727	0.923638
Zfp322a	-0.344368	0.923638
Gm13778	-2.169367	0.923638
Pdlim1	0.306574	0.920718
RP23-327M13.2	-0.645688	0.916554
Nr1h3	-0.473933	0.914736
mt-Td	-0.981678	0.914736
Bcorl1	0.429084	0.911139
9330160F10Rik	0.849106	0.910763
Mpp2	0.634271	0.910763
Men1	0.420289	0.910763
Glul	0.327313	0.910763
Brinp1	-1.894956	0.910763
Arl14ep	-0.620224	0.909285
Prkcz	-0.35359	0.90873
Fam118b	0.515268	0.906142
Fam101b	-0.358331	0.906142
3110021A11Rik	-1.299769	0.906142
Cpsf7	-0.393827	0.896814
E030030I06Rik	-0.815066	0.896814
Slc38a2	0.418632	0.896709
Rpl9-ps6	0.432419	0.896579
Cwc22	-0.771298	0.890667
C2cd2l	0.433659	0.885008
Sema3c	-0.34527	0.88356
Dhrs4	-0.385682	0.876114
Gm15284	1.804895	0.874252
F2r	0.777587	0.874252
Mex3a	0.748808	0.874252
Hs1bp3	0.688904	0.874252
Cxcl13	0.612953	0.874252
Ppap2c	-0.357269	0.874252
Scp2	-0.425177	0.874252
Zfp182	-0.668991	0.874252
Batf2	-0.777912	0.874252
4930509G22Rik	-2.591529	0.874252
Ubxn6	-0.349894	0.873357
Eif4enif1	-0.381814	0.873234
Ltv1	-0.485807	0.873005
Cdca2	-0.721801	0.871727
Zfp516	0.465127	0.868726
Pigo	-0.517266	0.86852
Zfp2	-0.866615	0.864583
Gm25360	1.245916	0.862192
Nr3c1	-0.288481	0.856049
Stam2	-0.372977	0.856049
Hist1h2ap	-1.508569	0.856049
Slc1a5	0.317628	0.855317
Tmem260	-0.519563	0.852618
Rsph10b	-2.542882	0.852618
Cln8	0.484224	0.852581
Tbl1xr1	0.346251	0.852581
Rnf6	-0.441099	0.850998
Nudt22	0.389445	0.850982
Nhlrc2	-0.378538	0.850489
Nudt7	-0.399875	0.850489
Bdnf	-2.081017	0.850489
Cdc42ep1	0.460329	0.85
Trib1	0.342522	0.85
Xiap	-0.274673	0.85
Scml2	-2.078946	0.85
Bhmt2	2.476555	0.843766
Zmynd8	-0.257437	0.843766
Tbc1d5	-0.531592	0.843766
Nr1d1	-0.889933	0.843766
Gm13421	-1.401043	0.843766
Elovl5	0.267609	0.843312
Stxbp3a	-0.369113	0.843312
Eftud2	-0.40587	0.843312
Parp14	-0.45714	0.843312
Gm6288	-2.83966	0.843312
Ms4a6d	0.902351	0.84299
Mmp10	2.476647	0.840403
H2-Eb2	2.475496	0.840403
Arg2	0.703885	0.840403
Cep120	-0.505612	0.840403
Bmp2	0.398272	0.839764
Zfp334	-0.608038	0.834626
Kcng4	1.923996	0.833376
S100pbp	0.451574	0.833376
Id2	0.310783	0.833376
Rnaseh2b	-0.425475	0.833376
Zfp74	-0.684299	0.830715
4921508M14Rik	-2.286205	0.830715
H2afz	0.444681	0.828721
Bbip1	-0.430595	0.828721
Ttll5	-0.490171	0.828721
Ap1g2	-0.375485	0.826473
Rpl31-ps6	1.973615	0.82635
Ccdc127	0.344158	0.82635
Itgb4	-0.41373	0.824784
Pdlim3	0.261953	0.822585
B230325K18Rik	-0.633035	0.815791
Zfp207	-0.239489	0.814487
Gad1	2.493935	0.813596
Fgfr4	0.850718	0.813596
Mt2	0.542155	0.813596
Zcchc4	-0.553617	0.813596
RP24-321N12.1	-1.157896	0.813596
Setx	-0.322265	0.813536
C6	1.941411	0.812177
Acpp	-0.714075	0.812177
RP23-152I6.4	-2.571223	0.812177
Fos	0.685803	0.80942
Bcl2l15	-1.057824	0.80942
Irf8	0.356657	0.808889
4732440D04Rik	-0.75873	0.807192
AY761184	2.092343	0.806592
Tcirg1	0.502543	0.806592
Notch1	0.526077	0.804518
Kdm5b	0.324116	0.804518
Wipf2	-0.225637	0.804518
Mga	-0.299819	0.804518
Ivns1abp	0.230183	0.803659
Edc3	-0.396013	0.803659
Wbscr27	-0.398652	0.802271
Snora20	-1.276385	0.800914
Vaultrc5	1.208314	0.798412
Ptger4	0.412167	0.798412
Rsad1	0.360784	0.798412
Ogn	0.267222	0.798412
Thsd4	-0.340404	0.798412
Kif13b	-0.629947	0.798412
Pou3f3	-0.783494	0.798412
Gramd1c	-0.844189	0.798412
1810019D21Rik	-1.218876	0.798412
Snord35b	-2.565413	0.798412
Gm17597	-2.611121	0.798412
Rps28	0.368469	0.796621
Nup214	-0.434051	0.796621
Tmem206	0.978293	0.796545
Skil	0.403948	0.796545
Gpalpp1	-0.462735	0.796545
Klc4	-0.290595	0.795145
2010111I01Rik	0.397851	0.79487
Zfp65	-0.513986	0.79487
Slc6a17	0.654429	0.788358
Gdf15	0.884446	0.785964
Maff	0.691339	0.785964
Tmem184b	0.347449	0.785964
Slc25a51	0.296867	0.785964
Erbb2ip	-0.271776	0.785964
Zfp282	-0.423426	0.785964
Prss23	-0.461898	0.785964
Grrp1	-0.823837	0.785964
Tnc	0.437633	0.785944
Cdc42ep2	0.501383	0.785308
Ephb2	0.289732	0.783941
Gm26917	0.705602	0.782343
Nop2	0.438014	0.780879
9230105E05Rik	-0.710859	0.780879
Ermp1	0.237056	0.780845
Sirt1	-0.484655	0.780845
Fbxo33	0.453525	0.78039
Bola3	-0.424884	0.78039
Mki67	-0.445832	0.78039
Lrrcc1	-0.382989	0.779325
Nuak1	-0.782044	0.779325
Pla2g10	0.294306	0.775771
Sephs1	-0.358128	0.775433
RP24-429G21.4	-0.85631	0.773431
Mapkapk3	0.387428	0.771735
1700108F19Rik	1.849903	0.770778
Kremen2	0.661184	0.770778
Dusp7	0.65435	0.770778
Med18	0.544225	0.770778
Qsox1	0.3324	0.770778
Ak2	0.236917	0.770778
Dnajc1	-0.226555	0.770778
Adrm1	-0.614247	0.770778
Gm25394	-1.622369	0.770778
RP24-222G3.1	-0.660487	0.770608
BC003331	-0.294008	0.770029
Ipo11	-0.422032	0.770029
Gm17229	-1.538963	0.770029
Zeb2	-0.411798	0.767953
Tdp2	0.534393	0.766827
Mum1	0.434939	0.766827
Arhgef17	0.354295	0.766827
Ano3	-1.046357	0.766721
Pias4	0.348529	0.766478
Fhdc1	0.421664	0.766188
Gm15963	-1.25583	0.766188
Syt13	0.534089	0.765832
Muc4	0.450344	0.765554
Gpatch3	-1.288091	0.765554
5830432E09Rik	2.524986	0.763908
E330009J07Rik	0.534627	0.763908
Ppp1r18	0.484443	0.763908
Aspn	0.392257	0.763908
Gtf3c2	-0.208266	0.763908
Mettl16	-0.425661	0.763908
Pdzd3	-0.458501	0.763908
AA987161	-0.538541	0.763837
Myo5c	0.39529	0.761693
Pycr2	0.427635	0.757719
Ino80c	-0.442389	0.755927
Snx9	-0.56919	0.754585
Fam84a	-0.807324	0.753361
Trim11	0.417517	0.751256
Mtfr1l	0.25752	0.751256
Alg9	0.433802	0.75055
Phip	-0.227907	0.75055
Smek1	-0.322443	0.750525
Mx2	-1.862055	0.748285
P2ry2	-0.558198	0.745227
Gm16464	-1.757931	0.742714
Ptprr	-0.461639	0.741619
Gm15077	-1.98139	0.741619
Nmi	-0.408431	0.74076
Txnl4b	-0.861854	0.74076
L3hypdh	0.66449	0.740099
Sidt1	0.332242	0.739092
Socs2	0.298164	0.739092
5430403G16Rik	-0.94708	0.739092
H2-T23	-1.132066	0.739092
Arid3a	0.603429	0.736042
Nr1d2	-0.307907	0.736042
Snord100	-1.635751	0.736042
1110035H17Rik	-0.569038	0.735977
Isg20l2	-0.842086	0.735977
Tgif2	1.449089	0.735368
Palld	0.300852	0.733044
Drap1	0.257549	0.729398
Tjp1	-0.348442	0.729398
Plscr4	-0.469333	0.729217
Nr4a3	1.091735	0.72752
Farp2	0.369955	0.726725
Zzz3	-0.311353	0.726371
Mcmbp	0.240134	0.725729
Cir1	-0.311906	0.725729
Nsun5	-0.612509	0.725348
Utp23	-0.458946	0.724772
Nlgn2	0.753057	0.724539
Bclaf1	-0.198764	0.72416
Metap1d	-0.575138	0.72416
Rhpn2	0.304263	0.721239
8-Sep	0.289374	0.718447
Mllt6	0.288666	0.718447
Gm525	-2.360925	0.718447
Slc25a21	-2.361186	0.718447
Gm9025	-2.361789	0.718447
Gm24507	-1.633665	0.717805
Gm22247	1.38347	0.715118
Tnfrsf23	0.709218	0.713122
Papss1	0.280596	0.711273
Rnu11	0.786852	0.710659
Phf13	0.460198	0.710659
Kifc2	0.432094	0.710659
Mavs	0.301666	0.710659
Hnrnpul1	-0.319666	0.710659
Dkc1	-0.331564	0.710659
Ubxn2b	-0.375528	0.710659
AW549877	-0.389558	0.710659
L3mbtl2	-0.574291	0.710659
Cwf19l2	-0.329569	0.709055
G630090E17Rik	-0.732781	0.707988
Dhrs9	0.894907	0.707649
Gpatch11	-0.321786	0.707649
Nub1	-0.323174	0.707649
Nucks1	-0.227455	0.70476
Rassf5	0.581217	0.704435
Sypl	0.237388	0.704435
Gm16174	-1.322674	0.704435
Cdyl	-0.594359	0.704371
Rcl1	0.481339	0.701745
Tmem150b	-0.700543	0.701321
Fbxo48	-2.401508	0.701321
Lyar	-0.442044	0.695218
Hdhd3	0.565425	0.693524
Ep300	-0.267817	0.693524
Gnpda2	-0.508279	0.693524
Champ1	-0.462419	0.689515
Haus2	-0.43083	0.689037
Hectd1	-0.202772	0.68766
Rny3	1.144108	0.687532
Hspa1b	0.789685	0.687532
Gadd45a	0.503873	0.687532
Atf6b	0.418725	0.685857
Wars2	-0.465929	0.682041
4932441J04Rik	-2.16924	0.681228
Tbrg4	-0.348691	0.680445
3110021N24Rik	-0.902687	0.679456
Mtl5	2.264728	0.679333
1700016P03Rik	2.264633	0.679333
Gm23143	2.264433	0.679333
Gm15661	2.263502	0.679333
Ndst1	0.423136	0.679333
Cep19	0.408277	0.679333
Gla	0.383449	0.679333
Slc35d1	-0.309249	0.679333
Melk	-0.699411	0.679333
6720483E21Rik	2.267124	0.67676
Bnip3l	-0.318405	0.67676
Oxsr1	-0.407134	0.67676
Rpp30	-0.796492	0.67676
Gm26797	-1.476294	0.67676
1700102P08Rik	1.067682	0.676098
Siah2	0.501005	0.673421
Sox9	0.301931	0.673421
Nrde2	-0.461259	0.673421
Mndal	-0.48284	0.673421
Mgme1	-0.650512	0.673421
Cebpa	0.377965	0.673068
Zc3h6	-0.591592	0.671231
Cd97	0.347595	0.667819
2200002D01Rik	-0.511096	0.667819
Hs3st3a1	1.115864	0.667737
Txndc9	-0.245291	0.666431
Tusc2	0.28228	0.665518
Gm8129	0.918906	0.662519
Zfp160	-0.42585	0.662519
Rpl31-ps11	2.021053	0.66178
Ppp3r2	-1.631451	0.661353
Cmas	0.227597	0.660432
3110070M22Rik	-1.179809	0.65995
Tubb5	0.309596	0.659236
Rmi2	0.952685	0.656801
Ulk1	0.407539	0.655542
Pex11a	0.24483	0.654792
Pcf11	-0.24084	0.654792
Bex4	-1.66643	0.654792
Dnah1	-2.336482	0.654189
Morn1	0.741231	0.65378
Fam189a2	-0.405763	0.650225
Rbl1	-0.443836	0.650225
Snord55	-0.786643	0.648548
Piga	0.38233	0.647925
Prpf31	-0.426975	0.644853
Fbxo2	0.706233	0.644098
Spata6	0.522027	0.644098
Clic4	0.343229	0.644098
Dnajb14	-0.297941	0.644098
Zfp28	-1.324242	0.644098
Oma1	-0.272919	0.643156
Cd276	0.608741	0.643049
Ppp1r9b	0.340313	0.643049
Zfp191	-0.295766	0.643049
Rbm22	-0.347901	0.643049
Atp8a2	-0.448254	0.643049
Gm28874	-1.662598	0.643049
Ppp1r3c	0.486024	0.642147
Osgin1	0.48618	0.641037
Slc45a4	0.46569	0.641037
Coa7	-0.40054	0.641037
Ing3	-0.451633	0.641037
Rrp8	-0.551868	0.641037
Gm684	-1.017263	0.641037
Zfp869	-1.456911	0.641037
Ffar2	0.422996	0.640443
Ahdc1	0.408268	0.640443
Acp2	-0.30916	0.640443
Mxd3	-0.996215	0.638795
Gm11532	-1.524409	0.638795
Rab11fip5	0.449521	0.638342
Pdp1	0.505187	0.636848
Son	-0.155422	0.634253
Rassf2	0.576389	0.633787
Arid5a	0.768973	0.632443
Gng2	0.359608	0.632443
Ndufs3	-0.377298	0.632443
Rab11fip1	0.267435	0.630962
Metrnl	0.418849	0.627422
Srf	0.375562	0.627422
AI593442	-1.620975	0.627422
Grasp	0.513524	0.626225
Pla2g12a	0.295209	0.626225
Snx5	0.260861	0.626225
Rbfox1	0.623891	0.625932
Lmo3	1.962806	0.625312
Suv420h2	0.454692	0.625312
Cenpl	0.431032	0.625312
Sod2	0.421294	0.625312
Msh2	0.312107	0.625312
Cttnbp2nl	0.303212	0.625312
Rexo2	0.279172	0.625312
Klf9	0.272258	0.625312
Upf1	0.260384	0.625312
Cd81	0.235165	0.625312
Yeats4	-0.297617	0.625312
Aptx	-0.429537	0.625312
Zfp26	-0.521576	0.625312
AI662270	-0.679994	0.625312
Lrrn4	-1.15297	0.625312
Gm12551	-2.406467	0.625312
PISD	-0.342491	0.625061
Fstl3	0.405834	0.623396
Npy4r	-0.468105	0.622295
Sclt1	-0.550192	0.622295
Pradc1	-0.661043	0.622295
Ccdc28a	-0.381425	0.621598
Ankrd12	-0.235334	0.621482
Rdh14	-0.388994	0.621482
Atf1	-0.315945	0.621235
Icam4	2.06912	0.619856
Scrg1	2.06825	0.619856
Atg4a-ps	2.068091	0.619856
Gm10571	2.067988	0.619856
Gpr149	2.067664	0.619856
Slc15a1	-1.104465	0.619856
Tpt1-ps6	-2.415737	0.619856
Rae1	0.365189	0.618464
Ash1l	-0.219646	0.618464
Zfp273	-1.341446	0.618464
Hlx	0.441766	0.618213
Pprc1	-0.553165	0.618213
Snord65	-1.310323	0.618213
Ptpn12	0.354023	0.617838
Rpl22	0.229615	0.616224
Cx3cr1	-0.526612	0.616224
Cep162	-0.372862	0.615778
Foxd2os	0.244706	0.615267
Spaca6	-0.439038	0.615267
Rilp	-0.694524	0.615267
4930509E16Rik	-1.308718	0.615267
Ncf1	0.590564	0.61317
Arhgap28	0.671042	0.611739
Gm10244	-1.228344	0.611739
Exoc6	-0.571988	0.609689
Sdf2l1	0.329053	0.609543
Spry1	0.688798	0.605602
4933431E20Rik	0.408388	0.605602
Purg	-0.747165	0.605602
Skor1	2.34708	0.605364
Tgm2	0.331774	0.605248
Aqp4	1.073834	0.604379
Man1a2	0.20232	0.604379
Leng8	-0.418253	0.604379
Cxcl14	0.422258	0.604101
Gm10232	-2.889992	0.604101
Osbpl3	-0.342518	0.599876
Lpcat4	2.200819	0.599764
Tmem55b	-0.296258	0.598554
Ppnr	-0.78568	0.598554
Rfc3	-0.407636	0.598319
Mogs	0.317665	0.596831
Prkcsh	-0.295204	0.596831
Timm21	-0.564122	0.596831
Gm14138	-1.603991	0.596831
Ptgs1	0.272337	0.595936
Prss53	1.723776	0.594297
Tiam2	0.584443	0.594297
Mmd	0.311038	0.594297
Psma4	-0.300761	0.594297
Diap3	-0.730225	0.594297
Prdm10	-0.887268	0.594297
B3gnt6	0.342522	0.593552
Zkscan1	-0.245361	0.593032
Smtnl2	0.716457	0.592928
Dus3l	-0.425403	0.590547
Hottip	2.723233	0.590148
Nexn	0.320996	0.590148
1700093J21Rik	2.227307	0.588699
Htr1d	-1.054245	0.588106
Agfg2	0.280021	0.586548
Ccdc69	-1.017768	0.586548
Sh3pxd2b	0.366192	0.586061
Kctd9	-0.398275	0.586061
Dph5	-0.469993	0.585496
Rhof	0.439758	0.584642
Dkk2	1.246173	0.584232
Mx1	0.750758	0.583412
Clps	0.410606	0.58303
Ms4a6c	0.423631	0.582263
Tcp11	-2.032179	0.581089
Rsrc1	-0.308942	0.580702
Fn1	0.352721	0.580391
Rbm39	-0.198071	0.580391
Gdpd1	0.239852	0.580185
Ybey	-0.710851	0.580185
Stmn1	-0.535003	0.577451
Mycn	1.202985	0.576959
C330013E15Rik	1.125768	0.576025
Tspan9	0.365081	0.576025
Brca2	-0.531692	0.576025
Arhgap27os3	-2.031031	0.576025
Thoc1	-0.476386	0.575107
Gmpr	0.446187	0.573751
3110009E18Rik	1.088502	0.573447
Soga3	0.6696	0.573385
Zfp866	-0.386666	0.571627
Mkrn2os	-0.334459	0.571234
Ap1m1	-0.361734	0.571234
Gtpbp8	-0.348103	0.570794
Gm15050	1.06944	0.570562
Hdac5	0.388615	0.570562
Dhcr7	0.371467	0.570562
Nars	0.235474	0.570562
Dars	-0.310118	0.570562
Rsl24d1	-0.465241	0.570562
Ackr3	0.527975	0.569382
Hagh	0.38601	0.569382
Ccdc117	0.383828	0.569382
Mphosph6	0.346779	0.569382
