	Log2(FC)	Log10(Adj. P-value)
Igsf3	-0.441847	1.123651
Ptprd	-0.384023	1.122283
Srp54b	1.665063	1.116699
Gsta3	0.590062	1.11415
Slc6a20b	-1.562278	1.112625
Erbb3	-0.550253	1.112625
Hccs	-0.493689	1.112625
Pgls	0.426854	1.112625
Rragc	-0.486334	1.110876
Tspan3	-0.374232	1.110876
Osr2	-0.594812	1.110616
Igsf9	-0.499596	1.110616
Mpp1	-0.463647	1.110616
Sdcbp	-0.454402	1.110616
Hmgcs1	-0.402582	1.110616
Slc25a36	-0.401312	1.110616
Defa26	0.346822	1.110616
Yif1b	0.700056	1.110616
Rab3b	1.338528	1.110616
Avl9	-0.493787	1.109736
Epb4.1l4a	-0.555617	1.102222
Ugt2b34	-0.47851	1.102222
Hist1h2bk	1.163007	1.099788
Ces2b	-1.100209	1.097021
Rb1	-0.394677	1.097021
Dlst	-0.343327	1.097021
Sema4a	-0.781021	1.096399
Arpc1a	-0.505686	1.096399
Rcan2	-1.242861	1.094584
Upk1b	-0.850334	1.094584
Car12	-0.60262	1.094584
Rere	-0.406594	1.094584
Sptlc2	-0.332926	1.094584
Cd27	1.808356	1.094584
Ciart	-1.285416	1.093475
Gskip	-0.469049	1.087449
H2afv	-0.380137	1.086839
Ptch1	-0.48116	1.084375
Chmp2b	-0.344968	1.084375
Cct5	0.366072	1.084375
Gm24497	2.04563	1.084375
Ash2l	-0.300749	1.070809
Rnasel	-0.404424	1.067086
Ttyh2	-0.438689	1.066612
Erich4	-0.563272	1.061322
Chdh	-0.394449	1.061322
Zmiz1	-0.363143	1.061322
Apoe	0.39152	1.061322
Sla	0.508551	1.061322
Hist4h4	1.265849	1.061322
Hist1h2ac	2.447222	1.061322
Cdkn2b	-0.509055	1.058593
Prss30	-0.440775	1.055163
WI1-1003N17.1	-1.547553	1.054186
Tmbim4	-0.332739	1.054186
Rnu3b3	1.512705	1.053655
Cnksr3	-0.753351	1.051091
Pklr	-0.410401	1.051091
Defb37	-0.927804	1.050387
Utp14b	-0.535708	1.048641
Paqr9	1.531722	1.047203
Tmem50a	-0.370824	1.037405
Slc4a7	0.390995	1.037271
Plbd1	-0.516508	1.036869
Abca14	2.328908	1.036053
Zdhhc5	-0.488689	1.027224
Lhfpl2	-0.479989	1.027224
Unc5b	-0.634373	1.026636
H2-Ab1	0.663412	1.026636
Mad1l1	0.704465	1.026636
Gm6136	0.585682	1.026429
Csf2rb	0.742234	1.020471
Sdr39u1	0.400657	1.014351
H2-T22	-0.964495	1.011948
Clec2h	-0.417017	1.011948
Trmt10a	0.696295	1.011403
Mep1b	-0.390969	1.00765
Plekhf2	-0.479721	1.005104
Tmem19	-0.429586	1.005104
Ptgr2	-0.445409	1.004781
Eps8	-0.362173	1.001841
Tcf7l2	-0.260249	1.001841
Npas4	2.146593	0.998919
Csnk2a1	-0.525213	0.994493
Id1	-0.483508	0.990343
Cd164	-0.395488	0.990343
2210016F16Rik	-0.333488	0.990343
RP23-26I10.5	-1.029977	0.98226
Ugdh	-0.440959	0.98226
Mrps24	0.34453	0.98226
Rplp1	0.367529	0.98226
Abat	-0.367002	0.975374
Gm25313	1.911421	0.975374
Dapk2	-0.788454	0.975175
WI1-1981I9.5	1.113733	0.975175
Celf5	-0.932867	0.965245
Gm8186	-0.83751	0.965245
Eci3	-0.560143	0.965245
Hnf4a	-0.471465	0.964442
Myd88	-0.443659	0.960604
Phf11c	0.759571	0.960604
Pla2g12b	-0.437458	0.960538
Lin7c	-0.375135	0.960538
Nbeal2	0.672451	0.960538
Ky	-1.227809	0.958201
Mterf2	-1.003486	0.958201
Ndufb3	-0.637534	0.958201
Hist1h4k	2.828817	0.958201
Pik3c2b	-0.416222	0.952643
Alpi	-0.737377	0.952506
Fam118a	-0.532174	0.952506
Tom1l1	-0.518076	0.952506
Clptm1l	-0.49406	0.952506
Slc5a1	-0.489442	0.952506
Hist1h1c	-0.403495	0.952506
Mall	-0.396153	0.952506
Rasa4	0.377516	0.952506
Nop10	0.386089	0.952506
Gm7846	2.9936	0.952506
1700025G04Rik	0.325336	0.948195
Amigo2	0.674287	0.948195
Gm25679	2.318712	0.948195
Marveld3	-0.371041	0.948192
Hnf1b	0.728146	0.94755
Sel1l3	-0.314307	0.947272
Fbp2	-0.290212	0.947272
Ncbp1	0.370891	0.947272
Ptch2	1.921644	0.947272
Rbp1	0.799516	0.941795
Anks4b	-0.350235	0.940643
Arhgap18	-0.344494	0.940643
Alpk1	-0.645874	0.94009
Ss18l1	-0.63023	0.94009
Ube2cbp	1.226086	0.94009
Vapa	-0.458181	0.938165
Lrp12	-0.704078	0.937383
Ppp2r2a	0.293305	0.937383
Ap3m1	-0.398561	0.935322
Mon1b	-0.578824	0.934113
Mfsd1	-0.522351	0.930742
Slc12a2	0.264448	0.930742
Pqlc1	0.42116	0.930742
4933423P22Rik	-2.90978	0.930612
Uba3	-0.60498	0.930612
Ptpn1	0.354294	0.930612
Plekhf1	0.787103	0.930612
RP24-490B17.1	2.820867	0.930612
Sqrdl	-0.528381	0.929214
Ldlr	-0.319754	0.929214
Cxcl13	0.615778	0.929214
Taf6l	-0.51411	0.928625
Zak	0.372015	0.927625
Gm13456	2.833114	0.927036
Gm2415	-0.809208	0.924286
Tmem127	-0.317922	0.924286
Rpl14-ps1	0.473454	0.924286
Ttc12	-0.960652	0.919046
Glyctk	-0.644372	0.919046
Rfk	-0.376628	0.919046
Hectd3	-0.35226	0.919046
Nr3c1	-0.28837	0.919046
Snhg1	0.376207	0.918509
Rps19	0.31046	0.915885
Ddx17	-0.44518	0.914192
Zfp334	0.758511	0.914192
Hist1h3e	1.57361	0.914192
Smpx	-0.95751	0.913028
Clu	0.511747	0.913028
Sdhaf1	0.574814	0.911984
3830406C13Rik	-0.413249	0.909096
Crym	-0.756129	0.908266
Prkg2	-0.433233	0.908266
Mtm1	-0.329523	0.908266
Ncf1	0.598376	0.908266
Lsm1	-0.587691	0.903724
Xpr1	-0.313243	0.903724
Mapk1ip1l	-0.461119	0.901985
Casp2	0.366239	0.901985
Gm20506	2.04635	0.901669
Gm10629	-2.915661	0.898707
Lck	0.891693	0.892793
Abhd4	-0.514982	0.891187
Rnf141	-0.430472	0.891187
Gtpbp4	0.302203	0.891187
D2Wsu81e	0.575116	0.891187
Flrt3	0.42453	0.889577
Bcl6	0.47622	0.884987
Gm15232	2.213045	0.881154
Gm21967	-1.391689	0.879666
Plekhg6	-0.492412	0.879666
Zfp566	1.250458	0.879666
Tomm22	-0.50412	0.874048
Tubal3	-0.469364	0.874048
Defa3	0.499731	0.874048
RP23-291E6.6	-1.302432	0.873372
Lyrm1	-0.783312	0.873372
Hspa4	-0.298427	0.873372
Mrpl55	0.434906	0.873372
Fam126a	0.437153	0.873372
Cd79b	1.075234	0.873372
Stab1	0.657562	0.872041
Med29	0.846113	0.869219
AA467197	-0.495451	0.869204
Ptpro	0.806414	0.869204
Ifnlr1	-0.880656	0.86844
Tmc3	2.217105	0.868055
Tspan7	-0.416415	0.866294
Nrd1	0.413565	0.865467
Jade2	0.516806	0.865467
Zbtb42	-1.095018	0.864072
Sc5d	-0.388497	0.864072
Dmbt1	0.454231	0.864072
Bmp7	0.501347	0.864072
Cyp2c65	-0.729426	0.860734
Nkrf	0.636746	0.860734
Aqp7	-0.831178	0.858317
Amotl2	-0.675558	0.858317
Zfyve20	-0.524682	0.858317
Fbxo30	-0.463087	0.858317
Ktn1	0.261446	0.858317
Ifitm2	0.458878	0.858317
Sh3bp4	0.549484	0.858317
Grcc10	2.057006	0.858317
Jazf1	-2.908943	0.857069
Gimap6	0.544559	0.856999
Atg3	-0.358881	0.856848
Laptm4a	-0.241251	0.856848
Clint1	0.266751	0.856848
Psmb6	0.293629	0.856848
Ndufv1	0.30055	0.856848
Kat2a	0.555823	0.856848
Slc44a4	-0.714332	0.855174
Ighd	1.086304	0.855174
RP24-372I24.4	-0.748664	0.852394
1110032F04Rik	-2.416425	0.84842
Fam3c	-0.441063	0.84842
Sh3bgrl2	-0.298373	0.84842
Hsd17b2	-0.545813	0.841325
Spata13	-0.462551	0.841325
Rpl14	0.331636	0.841325
Ggt5	0.535573	0.841325
Gm9843	0.557937	0.841325
Reps2	-0.573387	0.83878
Wdhd1	-0.443833	0.83878
Ccl6	0.301014	0.83878
D19Bwg1357e	0.427166	0.83878
RP24-374C7.1	0.956382	0.83878
Tmem140	-0.49929	0.834937
Echs1	0.285739	0.827708
Cst6	-0.841392	0.826905
Vnn1	-0.506117	0.826905
Tmem236	-0.341581	0.826905
Abhd6	-0.296632	0.822365
Slc13a1	-0.465317	0.821985
Dlg1	-0.36045	0.821985
A430078I02Rik	2.765388	0.821985
Drd1a	2.826515	0.821985
Adam17	-0.371346	0.821658
Hfe	0.539236	0.821658
Ppif	-0.550931	0.821559
Gm11964	-2.095852	0.821147
Id3	-0.513699	0.821147
Ttl	-0.715154	0.818956
Rpl31-ps8	0.373001	0.818956
Slc2a13	-0.88744	0.815849
Myo7a	0.4306	0.815849
Snord14a	1.765195	0.815849
Ggnbp1	0.664671	0.814532
Klf13	0.258942	0.814286
Gm12355	1.599481	0.813478
Fut2	-0.839857	0.810154
Rasgef1b	-0.701847	0.810154
Ccndbp1	-0.500319	0.810154
Fam53b	0.373035	0.810154
Gm28196	3.096779	0.810154
Tmco3	-0.41411	0.809893
Lrp6	-0.318329	0.809893
Btg1	0.422901	0.809893
Sema6a	-0.385222	0.807671
Ndufs6	0.308757	0.807671
Ddx21	0.309116	0.807671
Mpv17l2	0.381501	0.807671
Vav1	0.627614	0.807671
Rn7sk	0.88011	0.807671
Dock11	0.588265	0.807182
Adck1	0.59413	0.807182
Klrb1b	1.120778	0.807182
Asxl3	1.706042	0.807182
Jup	-0.573625	0.806822
H2-DMb1	0.749377	0.806822
Ctdnep1	-0.401049	0.806656
Fosl2	-0.348607	0.799299
Taf3	0.44907	0.799299
Lamp2	-0.251307	0.798985
Ndufa2	0.342021	0.797856
Gm23849	1.917256	0.793968
Ndufs3	0.433275	0.787929
Mcmdc2	2.887627	0.787012
Gm11697	-2.523409	0.783873
Nt5dc1	-0.540444	0.783873
Leprotl1	-0.285586	0.783211
Aqp1	0.393838	0.781447
Cfp	0.51345	0.781447
Emp1	-0.597362	0.775956
Ahcyl2	-0.368408	0.775956
Nemf	0.269237	0.775956
Ctps2	0.489803	0.775956
Ighv1-47	2.605435	0.775956
Gm16596	2.605605	0.775956
RP23-371A16.2	2.606313	0.775956
Gm14633	-2.619817	0.771879
Hrc	-0.999824	0.771879
Aamdc	-0.253675	0.771879
Otub1	0.360665	0.770345
Tmem101	-0.663967	0.768958
Aim1l	-0.419678	0.768958
Ptbp3	-0.207821	0.768958
Rnf169	0.416599	0.767162
Fkbp7	0.50545	0.767097
BC030870	-0.310086	0.765564
Cltc	-0.31007	0.765264
Mterf1b	-2.887407	0.76525
Trim36	-0.710241	0.76525
Mxd1	-0.524604	0.76525
Fdft1	-0.510543	0.76525
Ralb	-0.36914	0.76525
Samd9l	-0.348891	0.76525
Plekha3	-0.341944	0.76525
Ssr4	0.339087	0.76525
Desi1	0.386588	0.76525
Gfer	0.430689	0.76525
Sco2	0.437346	0.76525
Mt3	2.60709	0.76525
Slc7a1	0.375472	0.763901
mt-Tq	0.747298	0.763901
2010107G23Rik	-0.521918	0.753432
Pld1	-0.245944	0.753432
4921531C22Rik	-0.599067	0.753058
Vps4b	-0.463556	0.753058
Glycam1	1.90992	0.753058
Lef1	1.912008	0.753058
Lpin1	0.454167	0.752893
Sell	1.330535	0.752893
Paip1	-0.321283	0.752712
Ube2q1	-0.281932	0.752712
C4b	0.536231	0.752712
Myl12a	-0.549119	0.751437
Azi2	-0.299072	0.750732
Gm24018	2.667359	0.750732
Ccng2	-0.890979	0.749077
Rnu5g	2.331723	0.747793
Ebna1bp2	-0.487901	0.747495
Fam101b	-0.413681	0.743218
Mapk11	1.248537	0.743137
Scrn3	-0.837286	0.742326
Zbtb46	0.624395	0.742326
Atp5k	0.272273	0.739639
Pdcd6	-0.413838	0.739432
Chd6	0.301963	0.739432
Capns1	0.311896	0.735188
Zfp879	2.596693	0.735188
9230112D13Rik	2.608544	0.735188
Btd	-0.460777	0.735146
Gm23444	2.118695	0.735146
Chmp5	-0.576455	0.73442
Nucks1	0.230626	0.73442
Gm12034	2.526685	0.73441
AA474331	-2.727629	0.73144
P2ry2	-0.469149	0.73144
H2-DMb2	0.847849	0.73144
Rap2b	-0.395237	0.730402
Tor1aip2	-0.272176	0.728632
Ms4a6c	0.424492	0.728632
Stil	0.642774	0.728632
Hist1h1d	1.014489	0.728632
Tbc1d25	-0.612239	0.728058
Tmem9b	-0.367289	0.728016
1-Mar	0.708448	0.728016
4930415O20Rik	-2.303531	0.722905
Aco1	-0.420517	0.722542
Ccdc106	-2.400837	0.720771
2600006K01Rik	-2.03092	0.720771
Naa35	-0.368704	0.720771
4932438A13Rik	0.226929	0.720771
Rgs7bp	0.378494	0.720015
Plekha8	-0.509026	0.719023
Trim30e-ps1	-1.175766	0.718589
Wipf3	-0.458112	0.717365
Chp1	-0.29662	0.717365
Scp2	-0.349816	0.716904
Cd209b	1.528693	0.716904
RP24-422L17.1	-2.745568	0.716888
Gk5	-0.628121	0.716888
Kcnq1	0.408286	0.716888
Snx1	-0.464236	0.713826
Tnik	0.314025	0.713826
Hcst	0.733437	0.713826
Abi1	-0.294944	0.713722
Zfp513	-0.455476	0.713651
Tpt1	-0.50116	0.713269
Tmem8	-0.354742	0.713269
Rfx1	-0.370928	0.712006
Rab11a	-0.306587	0.71053
B230217C12Rik	1.272495	0.71048
Fpgt	-0.53978	0.708269
Rasgef1c	1.847602	0.708269
Bnc1	-2.72513	0.706352
Ell	-0.54173	0.706352
Pnliprp2	0.429916	0.706352
Tmem192	0.460525	0.706352
Rbm24	-0.605229	0.704012
Manf	-0.495555	0.704012
Snhg12	0.561291	0.703102
Arhgef2	-0.361062	0.702562
Olfr165	-2.084132	0.702499
Heph	-0.39047	0.702499
Hsd17b11	-0.269743	0.702499
Ahctf1	0.312403	0.702499
Hpcal1	0.373022	0.702499
Gatad2b	0.441395	0.702499
Ugt1a5	2.090848	0.702499
Tkt	0.351082	0.701773
Dok4	-0.291963	0.699395
Slc35a3	-0.360255	0.695862
Sdc4	-0.344114	0.695862
Brwd1	0.251179	0.695862
Amica1	0.402935	0.695862
2610528J11Rik	-0.393378	0.695809
Bms1	-0.378701	0.695809
Il7r	0.614881	0.695809
Phactr4	-0.294237	0.692232
Rc3h2	-0.290465	0.692232
Atg10	-0.704579	0.688432
Atp6v0e	-0.311985	0.688248
H6pd	-0.49565	0.687142
Mx1	0.779322	0.687142
Gm10125	-2.032628	0.683845
Psme1	0.349978	0.683845
Lrfn4	-1.286418	0.683153
4732465J04Rik	-1.082577	0.683153
Vta1	-0.590301	0.683153
Hp1bp3	-0.362805	0.683153
Isx	-0.337431	0.683153
Mbtd1	-0.298586	0.683153
Mrpl35	0.299558	0.683153
Fem1a	0.303852	0.683153
Cnn3	0.310441	0.683153
Rpp25l	0.401376	0.683153
Cspg4	0.543489	0.683153
D330045A20Rik	-0.947757	0.680097
Ifit1	-0.668729	0.680097
Tmigd1	-0.484206	0.680097
Yap1	-0.429799	0.680097
Capza2	-0.291159	0.680097
Atf4	0.384479	0.680097
Plcb4	0.414646	0.680097
Rasgrf2	0.535797	0.680097
Ighg3	1.082371	0.680097
Fbxl3	-0.441605	0.677933
Nr1d2	-0.299712	0.677933
Usp2	0.361787	0.677933
Dcaf6	0.389662	0.677933
Prkab1	-0.385704	0.677227
Casp9	-0.375598	0.676676
Zfp318	0.319308	0.675603
Pnpla3	0.995409	0.675603
9430038I01Rik	-0.464109	0.675451
Tbc1d15	-0.333261	0.674827
Tacc1	0.297064	0.674827
Intu	1.143268	0.674827
Slc10a6	1.446021	0.674827
Hist1h3b	1.740336	0.674363
Cdc42	-0.288697	0.673296
Fam26e	-0.66758	0.672432
RP23-83N21.1	-1.354222	0.670208
Fam212b	-0.730657	0.670208
Neurl1b	-0.542818	0.670208
Hist1h2bg	1.435526	0.670208
Mir192	1.79286	0.670208
Syt2	-0.719159	0.669791
Trp53inp2	-0.54404	0.669704
Itfg1	-0.314986	0.669704
Spef1	0.534956	0.669704
Arhgdib	0.595294	0.669704
Itga7	0.648075	0.669704
Gm23969	1.790239	0.669704
RP23-459L15.8	0.62337	0.668403
Rhoh	0.84358	0.668403
Prune	-0.541051	0.666601
Acy3	-0.332395	0.665466
Spdef	0.528664	0.665466
Dazap2	-0.30469	0.665298
Srxn1	-0.391387	0.664316
Gm15998	-1.540836	0.6581
Mpz	-2.557416	0.657025
Npb	-2.557379	0.657025
Klhl41	-2.557347	0.657025
Gm5436	-1.189368	0.657025
Ifi30	-0.334636	0.657025
Fermt1	0.28032	0.657025
Snd1	0.308741	0.657025
Map7d1	0.321305	0.657025
Gm12183	0.608678	0.657025
Gm25099	1.670939	0.657025
Sectm1b	-0.438062	0.656251
Fgd4	-0.312344	0.656251
Mff	-0.272882	0.656251
Snord7	2.604887	0.656251
Tcea3	-0.307745	0.655677
Des	0.395091	0.655677
Gm6563	0.547067	0.655677
Gm14769	0.652679	0.654193
Psma4	0.306749	0.652653
Rap1gap2	-0.361313	0.652082
Eif4g1	0.208567	0.652082
Myh11	0.270207	0.652082
Man2a2	0.401242	0.652082
Prodh	0.42472	0.652082
Ccdc177	-1.200716	0.650797
Krt23	-0.532656	0.649822
Rhebl1	-0.472376	0.649822
Ssh2	0.22951	0.649822
Gstt2	0.348418	0.64914
Srpx	-0.860612	0.648932
Snx7	-0.657054	0.648914
Dirc2	-0.365905	0.648914
Nudt4	-0.30597	0.648914
Plekhb2	-0.272162	0.646885
Ms4a6d	0.767067	0.646156
D130007C19Rik	-0.477678	0.643558
Ffar3	-1.241916	0.642707
Insig2	-0.379262	0.642707
Arhgap42	-0.316509	0.642707
Mcu	-0.3004	0.642707
Ppp1cc	0.652188	0.642707
Nr4a1	1.119162	0.642707
4833439L19Rik	-0.564639	0.642349
Gipc2	-0.348007	0.642349
Dctn6	-0.319736	0.642349
Kdelr1	-0.241739	0.642349
Fam221a	-1.253798	0.641372
Anapc5	0.31125	0.641372
RP23-411M4.1	1.686657	0.641022
Zranb2	-0.269959	0.64097
Msn	0.297612	0.64097
Gad2	-2.55591	0.639568
1700019D03Rik	-1.092414	0.639568
Uap1	-0.524873	0.639247
Tmco4	0.451029	0.639247
Npy	0.537457	0.639247
Lrrc41	-0.894079	0.639082
M6pr	-0.458868	0.639082
Psmf1	0.305868	0.639082
Agfg2	0.31274	0.639082
Snora47	-2.730864	0.638604
Gm22710	0.48792	0.638604
Abcg5	-0.39303	0.638139
Pdcd4	0.226436	0.635883
Macf1	0.226146	0.635871
Mybbp1a	0.287166	0.635755
Mtmr2	-0.328371	0.635637
Vopp1	-0.375687	0.634043
Adtrp	-0.270511	0.633964
E530011L22Rik	-1.827448	0.633762
Samd4	0.35599	0.63331
Metrnl	-0.458366	0.632974
Zeb2os	1.096728	0.632974
RP23-201C3.5	-1.554789	0.632156
Crcp	-0.498376	0.632156
Rhoc	-0.374013	0.631684
Slc31a1	-0.315502	0.629951
Bbs12	-1.474773	0.629475
Abcd1	-0.435144	0.629475
Ctdsp2	-0.322897	0.629475
Tmem14c	-0.276914	0.629475
Rpap2	0.584601	0.629475
Car1	1.381412	0.629475
Fam63a	-0.330703	0.627835
Gm15200	-0.763444	0.627528
St7	-0.829793	0.62698
Dap3	0.264354	0.62698
Rbp4	0.55562	0.62698
Rpl38-ps2	-0.694799	0.626611
Cdc42bpg	-0.393817	0.626611
Hist1h4f	1.567639	0.626611
Slc34a3	-1.933027	0.626605
Myl6	-0.442689	0.626605
Ighg2b	1.152437	0.626605
Cdkn2d	-0.630057	0.623027
Cartpt	-1.092274	0.622598
Mpzl3	-0.461233	0.622598
Snrpn	-2.575822	0.622085
Sfxn4	-1.581316	0.622085
Ceacam2	-1.433604	0.622085
Smpd5	-1.127848	0.622085
Slc40a1	-0.507652	0.622085
