	log2(fc)	log10(adj. p-value)
Myh11	0.393304	1.266235
Zfp933	-0.546064	1.262986
Mmp12	1.507766	1.253477
Cpt1a	-0.312036	1.250734
Mall	-0.424401	1.241908
RP23-323H18.2	0.997409	1.241908
Gsg1l	-1.443784	1.233145
Zfp91	0.346874	1.233145
Nmd3	0.700424	1.233145
Sectm1b	-0.576911	1.222973
Nek4	1.304911	1.219052
Ypel3	-0.54067	1.219031
Ocm	-0.478436	1.219031
Klf13	0.355276	1.219031
Bach1	0.498629	1.219031
Gimap9	-0.491642	1.218274
Efna1	-0.645222	1.218154
Ubap2	0.478806	1.215728
Pcsk9	0.61306	1.209894
Rgma	-0.5836	1.200525
Bzrap1	-1.553788	1.19807
Pomp	-0.302566	1.19807
Pdzd3	-0.492135	1.196764
Fbp2	-0.324969	1.190779
Lrrc51	-1.387295	1.190485
Ccdc71l	0.720713	1.190485
Tmtc1	0.842904	1.190485
Dusp12	-0.405281	1.18959
Hs3st1	0.980676	1.182548
Gm17971	1.202758	1.182548
Ccnl1	0.348799	1.181952
Mfsd9	-0.567204	1.161028
Ifrd1	0.405496	1.161028
Btg2	0.456837	1.156207
Ttbk2	0.952908	1.156207
Malat1	0.315833	1.152642
Mlx	0.623806	1.152642
Trip11	0.363046	1.150788
Klf10	0.851447	1.15021
Nktr	0.262368	1.142885
Limk2	-0.331531	1.140921
Hnrnpab	0.257888	1.140921
Palld	0.407404	1.140921
Synm	0.42444	1.140921
Ddx25	-1.423665	1.137402
Mtif3	-0.587694	1.137402
Apobec1	0.578897	1.137402
Kank3	-1.004894	1.124263
Nr2f2	-0.377741	1.121285
Spire1	-0.934085	1.117882
Pcf11	0.322784	1.117882
Wwtr1	0.697926	1.106145
Sppl3	-0.303354	1.101801
Zdhhc9	-0.333349	1.096586
Ahcyl1	0.287471	1.094956
B4galt4	-0.40122	1.094069
Tmed5	0.469038	1.091879
Itga1	0.478895	1.091879
Rfxap	-0.695064	1.080062
Cfap20	1.038787	1.079834
U2surp	0.29351	1.07871
Vps13a	0.556902	1.071175
Fam46a	-0.377539	1.065218
Retnla	-1.22446	1.062246
Tmem215	-1.290172	1.051938
Cd200r2	-1.204813	1.043043
Hist3h2a	-0.485705	1.043043
Map1lc3b	-0.298576	1.043043
Eif4g1	0.271714	1.043043
Gnl3	0.421853	1.043043
Peli1	0.428847	1.043043
Stc1	0.797246	1.043043
Trmt10c	0.950851	1.040933
Cenpe	0.472587	1.039133
Copb1	0.383673	1.036741
Tppp3	0.469943	1.036741
Gpcpd1	0.620585	1.036741
Slc25a25	0.627438	1.036741
Tmem151a	-1.680675	1.032707
Usp34	0.269302	1.032707
Tmod2	0.630472	1.032707
Timm17a	0.344603	1.024924
Zfp658	-1.172518	1.016171
Ptch1	-0.439232	1.015297
Msc	-0.853941	1.006161
Ago4	-0.707919	1.005709
Adipoq	-1.398036	1.001754
Vnn1	-0.534409	1.001754
Gm10011	-1.432761	0.998453
Ppcs	-0.47072	0.998453
Hgs	-0.38862	0.998453
Psmd7	0.328749	0.998453
Utp14a	0.513837	0.998453
Podn	0.544774	0.998453
Lyar	0.523021	0.99728
Dusp18	0.721672	0.99728
Il15	-0.612333	0.994985
Mon1a	-0.577038	0.994985
Trim25	-0.347525	0.994985
1500012F01Rik	-0.308235	0.994985
Sntb2	0.767129	0.994985
Pip5k1b	0.410987	0.994919
Wbp11	0.395835	0.993643
Dgat2	-0.447353	0.990323
Rdh10	0.484463	0.987852
Gsdma2	-1.254331	0.978179
Acox3	-0.384232	0.978179
2310061I04Rik	-0.368656	0.978179
Gsr	0.799525	0.974402
Zfp281	0.673998	0.963828
Rpgrip1	-1.21296	0.958699
Plekhg6	-0.509335	0.958699
Vsig10	-0.422539	0.958699
Acbd3	0.310544	0.958699
D5Ertd579e	0.419459	0.958699
2010003K11Rik	0.651942	0.958699
Pxdc1	0.979485	0.958699
Ept1	0.405431	0.956325
Ptgs1	0.412301	0.955946
Frmd6	0.815419	0.953313
Cblc	-0.587017	0.950084
C130074G19Rik	-0.486907	0.949473
Sap30l	-0.398957	0.949473
Pbx2	-0.43143	0.948354
Rnf208	-1.048989	0.947854
Acadl	-0.339594	0.947854
Gm15680	-0.877222	0.942524
Zfp125	-1.124011	0.941875
Dnajc4	-0.572609	0.941875
Ctns	-0.569421	0.941875
2010002M12Rik	-0.566179	0.941875
Cdk13	0.389824	0.941875
Zfp286	-1.298481	0.938819
Nlrp6	-0.365399	0.938783
Suz12	0.455705	0.935008
Zfp442	-1.18662	0.921791
Gm7849	-1.060271	0.921791
Tnnt2	-0.762299	0.921791
Fam204a	0.633343	0.921418
Grtp1	-0.488662	0.919773
Mgea5	-0.307797	0.919773
Gm19427	-1.237145	0.915638
Dab1	-0.447107	0.915638
Dhcr24	0.439007	0.915638
Ptpn11	0.400501	0.91428
Cckar	-1.384901	0.911791
Ccdc28a	-0.433303	0.911791
Zdhhc21	0.372939	0.911791
Cdsn	-1.3458	0.911353
Tmem150c	-1.281266	0.911353
Wdr81	-0.584725	0.911353
Lamc1	0.71018	0.911353
Eps8l1	-1.298153	0.910876
Glipr2	-0.681843	0.910876
Acadvl	-0.40387	0.910876
Eif3j1	0.388525	0.910876
Rims2	-1.435331	0.910187
Hnf1aos1	-1.397493	0.910187
Ubxn6	-0.376731	0.910187
Gm25857	-1.447532	0.90836
Pemt	-1.239974	0.90836
RP23-399N18.2	-0.925006	0.90836
Smdt1	-0.336711	0.90836
Dhx36	0.367093	0.90836
Pgf	1.31227	0.90836
Asprv1	-1.339841	0.906991
Gm26778	-0.988868	0.906991
Gm28875	-0.633191	0.906991
Ap5z1	-0.626507	0.906991
Naip5	-0.384225	0.906991
Zfp35	-0.330676	0.906991
Gas5	-0.250969	0.906991
Bdp1	0.356556	0.906991
Mmgt1	0.400253	0.906991
Flnc	0.795005	0.906991
Cldn23	1.04541	0.906991
Gm4035	-1.337456	0.906982
Mob2	-0.592419	0.906982
Cldn7	-0.377513	0.906982
Hs6st1	0.443733	0.906982
Ddx39	0.497738	0.906982
Mthfd2	0.585076	0.906982
Utp15	0.815175	0.906982
RP23-328J8.2	0.944931	0.906982
Abra	1.194484	0.906982
Xpo5	1.19565	0.906982
Asgr1	-1.36485	0.905661
Mapk6	0.4679	0.905661
Smc4	0.332156	0.895148
Tet2	0.448818	0.893446
Actg2	0.502229	0.887649
C1rb	-0.867497	0.885151
Tnfaip8l1	-0.533636	0.885151
Atat1	-0.531536	0.885151
Il17ra	-0.392239	0.885151
Naa25	0.406854	0.885151
Sqle	0.388036	0.884757
Slc12a4	1.160147	0.884757
Klf11	-0.853029	0.881558
Ppfia4	-0.576151	0.881558
AI480526	-0.55279	0.881558
Ctxn3	0.836859	0.881558
AK129341	1.187492	0.881558
Psmd1	0.306303	0.880219
Slc35f2	-0.460239	0.878189
Zfp62	0.481111	0.878189
P2ry1	-0.46601	0.877189
Cpsf2	0.348443	0.877189
Mrpl9	0.720345	0.877189
Scd1	-0.996441	0.876564
Cd36	-0.756658	0.876564
Tmem50a	-0.332479	0.876564
Mtmr4	-0.31181	0.876065
RP24-92A2.1	1.029923	0.876065
Rif1	0.315071	0.875897
3110082I17Rik	0.800251	0.875897
Fbxo34	0.585944	0.87504
Smpdl3a	-0.316091	0.872683
Pard6b	0.651158	0.872683
Zfp575	-1.182665	0.871985
Ddhd2	-0.411734	0.871985
Ddx3x	0.420643	0.871985
Galnt3	0.686584	0.871985
Slc9a5	1.157877	0.871985
Dusp10	1.317955	0.871985
Gm25348	-1.192508	0.869941
Gm24539	-1.174173	0.869941
Acaca	-0.537724	0.869941
Ulk1	-0.461006	0.869941
Klhdc3	-0.458101	0.869941
Pja2	0.305773	0.869941
Il1rl1	0.855471	0.869941
Tnfrsf12a	1.135239	0.869941
Edn2	-0.850427	0.865016
Gm11127	-1.27117	0.864306
Naglu	-0.477273	0.864306
Ruvbl1	0.964402	0.863938
Gjc2	-1.012972	0.863257
Gprasp1	-0.452951	0.863257
Tmem80	-0.400691	0.863257
Arhgap5	0.390746	0.862059
Ip6k1	-0.368144	0.857529
Rnf111	0.421501	0.857529
Nkd2	-0.41718	0.856022
1810058I24Rik	-0.334328	0.854729
Rapgef2	0.596362	0.853694
Acer1	-0.483787	0.853282
Capn1	-0.319534	0.852756
Psph	0.590454	0.852756
Eif1a	0.38629	0.851441
Anks4b	-0.330153	0.848708
Ift46	-0.565403	0.844726
Tiparp	0.618281	0.844726
Ago2	0.246908	0.84134
Rock2	0.260447	0.83623
F2r	0.827568	0.83623
Mcmbp	-0.268014	0.835777
Syt2	-0.765671	0.834422
Acot8	-0.393982	0.834422
Dapp1	-0.372393	0.834422
Grem1	0.399206	0.834422
Yrdc	0.448559	0.834422
Rad54l2	0.588982	0.83326
Cd3eap	0.93976	0.831506
Prmt2	-0.511436	0.830385
Nucks1	0.248918	0.830385
Rprd1b	0.323206	0.830385
Rpf2	0.45646	0.830385
Snora78	1.327842	0.830385
Doc2b	-1.060677	0.830088
Vps72	-0.611402	0.830088
Acot2	-1.024012	0.82965
Drd4	-0.947164	0.82965
Fbxl20	-0.530528	0.82965
Pcyt1a	-0.416836	0.82965
Polr1c	-0.348142	0.82965
Faf1	0.461076	0.82965
Pggt1b	0.627295	0.82965
Atg14	-0.487422	0.82751
Sik2	0.554111	0.82751
Ednrb	0.480174	0.82602
Pde10a	1.350441	0.822092
Zdhhc23	1.054614	0.82204
Cfl2	0.303899	0.820686
Chd1	0.304893	0.820366
Cebpg	0.405436	0.819722
Rab17	-0.429903	0.817805
Homer2	0.45353	0.817805
Zfp11	-1.270594	0.810092
Ndufv3	-0.407551	0.810092
Samhd1	-0.32922	0.810092
Nme1	0.383538	0.810092
Cops3	0.447585	0.810092
Lamc2	0.726526	0.810092
Rbmx2	0.827641	0.810092
F3	1.425812	0.810092
Hells	0.498834	0.809187
Cir1	-0.398964	0.807201
RP24-273P12.4	0.500707	0.807187
Nlrp9b	-0.57055	0.804593
Calcoco1	-0.530695	0.804593
Tsen34	-0.375188	0.804593
Mettl20	0.522051	0.804593
Atp11c	0.600608	0.802344
Mlxipl	-0.25949	0.801329
N4bp2l2	0.316798	0.801329
1700020L24Rik	-1.233396	0.800143
RP23-100O18.3	-1.126329	0.800143
A830036E02Rik	-0.911963	0.800143
Bhlhe41	-0.689743	0.800143
Clic4	0.416703	0.800143
1700124L16Rik	1.242615	0.800143
Epb4.1l1	-0.513923	0.799803
Rhob	0.487691	0.799803
Gm24400	1.270145	0.799803
Tusc5	-1.200453	0.791683
Hexdc	-0.583113	0.791683
Cdc40	0.412535	0.791683
Tjp1	0.433736	0.791683
4931406C07Rik	0.445376	0.791683
Scube1	0.638738	0.791683
Nnmt	-1.245888	0.785166
Slc39a4	-0.358689	0.784558
Lpp	0.220769	0.784551
Zfp36l1	0.387743	0.784369
Tmem246	-0.316479	0.779732
Dnaja2	0.32755	0.779732
Abtb1	-0.556229	0.779081
5031439G07Rik	-0.360735	0.779081
Wdr36	0.404626	0.779081
9430008C03Rik	0.956194	0.779081
Amy1	-1.419143	0.774309
mt-Tr	-1.313601	0.774309
Gemin8	-1.114781	0.774309
Ptgdr	-1.102983	0.774309
Gm15198	-1.04582	0.774309
Kcnip1	-1.035198	0.774309
Cd300lf	-0.918946	0.774309
Rsad1	-0.526248	0.774309
Zfp945	-0.470056	0.774309
Pnp2	-0.415503	0.774309
Dak	-0.357479	0.774309
Pik3c3	-0.357397	0.774309
Smek2	0.296873	0.774309
Cdc42se2	0.313966	0.774309
Ndel1	0.462529	0.774309
Prcc	0.877202	0.774309
Vcp-rs	0.948864	0.774309
Ch25h	1.320905	0.774309
Ank1	0.706802	0.773325
Trmt11	0.786884	0.773295
C430014B12Rik	-1.242423	0.772682
Gm5549	-1.147613	0.772682
Foxo1	-0.305621	0.772682
Smarca5	0.321048	0.772682
Ctxn1	1.043749	0.772682
Adamts4	1.157048	0.772682
Dbi	-0.327135	0.771698
Frat2	-0.420996	0.771166
Bzw2	0.384817	0.771166
Rxra	-0.288863	0.767215
Gpr128	0.394362	0.758881
Folr4	-1.105693	0.758302
Gm26070	1.201189	0.758302
Ppp1r14b	1.180733	0.754783
Zfp212	-0.595899	0.744318
Erp29	-0.244769	0.744318
Myl7	1.080444	0.743729
RP23-82P18.4	-1.184886	0.742743
Gclc	0.4052	0.742743
Usp7	0.256445	0.741924
Ect2	0.589199	0.741924
Hbp1	-0.359451	0.741344
Gigyf1	-0.731678	0.737141
Engase	-0.623314	0.737141
Ang	-0.387237	0.737141
Mbnl1	0.256821	0.737141
Efnb2	0.523781	0.737141
Tcte2	-1.182302	0.734454
Arhgap11a	0.553677	0.734437
Spatc1l	-0.887405	0.734182
Zrsr2	0.338057	0.733257
Tgfb2	0.421344	0.732857
Mboat4	-1.026998	0.730676
Pttg1ip	-0.324218	0.730676
Adtrp	-0.282086	0.730676
Rbm43	1.01726	0.730676
Ndrg1	-0.336667	0.729165
Mcm4	0.681367	0.729165
Cfd	-1.115361	0.723951
Sctr	-1.064175	0.723951
Abca2	-0.726373	0.723951
Gm15513	-1.288246	0.718998
Gm12932	-0.990809	0.716675
Zfp467	-0.337308	0.716675
Mapre2	0.335288	0.716675
Hsdl2	-0.387416	0.715471
Emd	0.402297	0.715458
Pnpt1	0.643615	0.715458
Zfp523	-0.468374	0.71066
Hgf	1.035209	0.70909
Phf20l1	0.271664	0.709039
Cct6a	0.818731	0.708104
Gm15293	-0.814365	0.707596
Tex264	-0.469448	0.701914
B230216G23Rik	-0.957339	0.701277
Gm15863	-0.952683	0.700728
Inf2	-0.551613	0.697344
Kcne4	0.636318	0.697344
Zfp773	-1.315249	0.69513
Gm11634	-1.067193	0.69513
Slc25a33	0.703223	0.69513
Crem	0.672674	0.691982
Slc25a34	-0.73693	0.686771
Gpd1l	-0.26749	0.685954
Ptges3	0.357963	0.685263
Mob3a	0.722078	0.685263
Osbpl2	-0.297842	0.681764
Cyfip1	0.286298	0.681764
Poc5	0.694802	0.681764
Edrf1	0.785601	0.681764
Dpt	0.301528	0.679109
Ddx42	0.332919	0.679109
Kif23	0.350007	0.677818
Man2a1	0.461323	0.677818
Serpina1f	-0.97511	0.676169
Szt2	-0.621762	0.676169
Eprs	0.258709	0.676169
Dek	0.259182	0.676169
Sppl2a	0.309741	0.676169
Ttpal	0.499286	0.676169
Rusc2	1.341906	0.676169
Trp53	0.703186	0.672703
Slc2a13	0.846287	0.672703
Clint1	0.276263	0.672291
Ntrk2	-1.174568	0.671351
Gm10399	-0.917931	0.671351
Aldh3b1	-0.60506	0.671351
Sipa1	-0.531104	0.671351
Slc15a4	-0.468763	0.671351
Pde2a	-0.398593	0.671351
Snhg3	0.589036	0.671351
B3galnt1	0.596122	0.671351
Snx9	0.856805	0.671351
Tnfaip6	1.065902	0.671351
Ankrd1	1.184058	0.671351
Trib3	-0.782398	0.670743
Hsp90b1	0.404319	0.670743
Tmtc2	0.524489	0.670743
Phtf1os	-1.334205	0.669966
8-Mar	-0.308001	0.669434
RP24-428B12.3	-1.05598	0.668233
Hyi	-0.366682	0.668233
Ubn1	-0.258621	0.668233
Tipin	0.432769	0.668233
Rnd3	0.496708	0.668233
Gm26205	0.832276	0.668233
Hoxb5	-0.528537	0.667511
Slmap	0.366545	0.666065
Brd1	0.309986	0.665581
Clec2d	-0.835268	0.665031
Slc17a4	-0.392752	0.665031
Pla2g16	-0.336692	0.665031
Aldob	-0.325186	0.665031
Baz1a	0.305036	0.665031
Bag3	0.312353	0.665031
Itpripl2	0.40978	0.665031
Piga	0.431002	0.665031
Gm25410	-1.235624	0.664307
Grrp1	-0.722062	0.664307
5430435G22Rik	0.581373	0.664307
Dhx9	0.326716	0.664166
Egfl7	-0.601884	0.663717
Gcnt2	0.35476	0.66262
Isoc1	0.297123	0.657703
Rasef	0.612437	0.654346
Fgd3	-0.952098	0.649401
Zfp763	-0.595757	0.649143
Aamdc	-0.236203	0.649143
Matr3	0.249887	0.649143
Exosc1	0.515368	0.649143
Fam208b	0.714491	0.647895
Ppp1r15a	1.080705	0.647895
Gm4419	-0.980895	0.64785
Irf1	-0.472437	0.646611
Hnrnpr	0.333306	0.646402
Pik3ip1	-0.449003	0.643076
Irx5	-0.93546	0.642439
Mospd3	-0.507884	0.642188
A430093F15Rik	-0.862469	0.640578
Dchs2	-1.094786	0.639916
Abcd2	-0.984617	0.639142
Gm16998	-0.844029	0.639142
Dynlt1-ps1	-0.708018	0.639142
Eif2s1	0.512628	0.639142
Gm7936	1.175695	0.639142
Efcab7	1.236737	0.636236
St7	0.922156	0.635483
Zfp51	0.802304	0.634134
Rbp4	-0.715953	0.633757
Epn1	-0.351781	0.633757
Myh10	0.774903	0.633757
Cbx2	-0.853757	0.633039
Fam210a	0.363624	0.633039
Plin4	-0.71166	0.63176
Hsd17b13	-0.471595	0.63176
Srsf6	0.241628	0.631451
Pmpca	0.378382	0.631451
Epha2	0.966989	0.631451
Snx31	1.106135	0.629373
Gm26522	-0.906209	0.628502
Zfp46	-0.521032	0.628502
Fam160b2	-0.425154	0.628502
Mllt11	-0.424171	0.628502
Gpr146	-0.949329	0.628051
Sesn1	-0.42334	0.627989
Hdac2	0.355692	0.627805
Gpr171	1.22141	0.626962
1110012L19Rik	-0.743911	0.626394
Pdpk1	0.281687	0.624967
Irs2	0.677247	0.624967
Fbxw17	-0.467652	0.623975
Hadha	-0.314946	0.623975
Zfp292	-0.225013	0.622851
Pcp4l1	0.393662	0.622191
Fgfbp1	0.332979	0.6213
Ankzf1	-0.474802	0.620298
Zfp131	0.483161	0.620298
Rcan3	-0.524439	0.619154
Fam206a	0.611364	0.619154
Cyr61	1.043407	0.619154
Gm24339	-1.093318	0.618244
Sat2	-1.029113	0.618244
Rpl31-ps15	-0.715495	0.618244
Gm5617	-0.560613	0.618244
BC025446	-0.549293	0.618244
Plin2	-0.435296	0.618244
Appl2	-0.353098	0.618244
Ctdspl	-0.305712	0.618244
Sbf2	0.260618	0.618244
Ppp1r15b	0.325479	0.618244
Sbk3	-0.79102	0.614994
Clmn	-0.299521	0.614994
Sltm	0.235018	0.614605
Scml4	-0.410556	0.614567
Ppfibp2	-0.364026	0.614567
Slc4a7	0.340327	0.614567
Adad2	-0.720222	0.614547
Fhdc1	0.588669	0.613785
Col5a3	-0.70767	0.613464
Irf7	-0.567475	0.613464
Pisd	-0.427573	0.613464
Gm28959	-1.034675	0.610866
Gm15420	-0.957852	0.610866
Wbscr27	-0.532338	0.610866
Gm16462	-0.948059	0.609985
Gucy1b3	0.502895	0.609985
Gm27012	-0.599179	0.609799
Ilvbl	-0.33219	0.609799
Utp18	0.430252	0.609799
Uckl1	0.759098	0.609799
Zfp873	-1.066901	0.608652
Car3	-1.086224	0.608164
Sf3a3	0.469835	0.608116
Arl15	0.778425	0.6074
Cldn8	-0.952235	0.606806
Abca14	-0.951196	0.606806
Shc2	-1.12403	0.606003
Hspa9	0.344842	0.606003
Glb1l2	-1.237396	0.605559
Cfi	1.039483	0.604278
Zfp804a	-1.093118	0.603877
Ppp1r12a	0.228108	0.603877
Cebpz	0.334169	0.603877
Reck	1.006887	0.603877
Snord65	1.048934	0.599399
Adra2b	-1.12178	0.59797
Cyth4	-0.804801	0.59797
Cgref1	-0.34084	0.59797
Usp3	-0.292396	0.59797
Birc6	0.235577	0.59797
Sptan1	0.265456	0.59797
Ccbe1	0.685192	0.59797
Actr2	0.331086	0.596647
Elmsan1	0.661871	0.595356
D130020L05Rik	-1.027466	0.593583
RP24-191N24.2	-0.960819	0.593583
Lrrc31	-0.601173	0.593583
1700052N19Rik	-0.416358	0.593583
Cpsf6	0.289434	0.593583
Arl4a	0.291241	0.593583
Ubxn8	0.306876	0.593583
Abca5	0.925064	0.593583
Gm561	1.071426	0.593583
Gprasp2	-0.617181	0.593023
Ccpg1	-0.422418	0.593023
Tmem139	-0.371222	0.591926
Mbnl2	0.252279	0.591926
Nutf2	0.637637	0.591926
Rom1	-0.523168	0.590376
Kcnh2	-0.72943	0.588943
Unc80	-1.114884	0.588595
Lrig2	-0.358839	0.588595
Adig	-1.205849	0.58833
Pttg1	-0.274798	0.58833
Slc25a51	-0.251976	0.58833
Wdr43	0.303747	0.58833
Hoxb4	-0.513044	0.58631
1810014B01Rik	-1.045512	0.585229
Bcl7a	0.584534	0.585229
Gm26690	-0.926691	0.584138
Ranbp2	0.325739	0.584138
Pigm	0.386838	0.584138
Pbk	0.457208	0.584138
Fam149a	0.776312	0.584138
Dpf1	-1.08715	0.57959
Hsd17b11	-0.252595	0.57959
Rrm1	0.478439	0.57959
Gins1	0.720681	0.57944
Ssh3	-0.334635	0.57793
Fzd3	-0.9088	0.577117
Nrgn	-0.637168	0.577117
Ssb	0.17565	0.577117
Ubald1	-0.421824	0.57586
Gbp6	-0.983558	0.574095
2810410L24Rik	-0.800983	0.572974
Tacc2	0.267814	0.572974
Iws1	0.354219	0.572974
Hilpda	-0.4548	0.572749
Chd3	-0.301982	0.572749
Sco2	0.461667	0.572749
Cebpd	0.575896	0.572749
Thap7	-0.572689	0.570661
4930500M09Rik	-0.714191	0.569163
Gm13889	0.398274	0.569163
Gm16238	-0.908003	0.569067
Cnn3	0.289696	0.569067
Smim3	0.499612	0.568811
Aig1	-0.250763	0.567815
Rdh11	0.409128	0.567545
Irx3	-1.114176	0.566579
2-Mar	-0.22848	0.566
Arl13b	0.618131	0.5651
Rps11-ps2	-1.055371	0.564955
Cdhr5	-0.387192	0.564356
Ddx46	-0.231276	0.563023
Cep95	-0.597701	0.562879
Jmjd6	0.320228	0.562879
Adck5	-0.352601	0.562737
Arid5a	0.930393	0.562737
Supt20	-1.102475	0.562487
Mettl8	-0.503572	0.562487
Atg13	-0.382084	0.562487
Tmcc3	0.277779	0.562487
Dnm2	-0.273402	0.561955
Nacad	1.082917	0.561699
Apol7c	-1.280839	0.559673
Zfp937	-0.773144	0.559673
Nacc2	-0.249423	0.559673
Phyh	-0.242895	0.559673
Hyou1	0.732134	0.559673
Nek2	1.041818	0.559673
B3galt2	-1.102364	0.5585
Acot1	-0.811089	0.5585
RP24-331B5.1	1.024491	0.5585
Zdbf2	1.044435	0.558013
Bmp4	-0.613638	0.557305
