Peptides,GO term,Name
2,GO:0006429,leucyl-tRNA aminoacylation
2,GO:0006751,glutathione catabolic process
2,GO:0006352,"DNA-templated transcription, initiation"
2,GO:0042126,nitrate metabolic process
2,GO:0006313,"transposition, DNA-mediated"
2,GO:0009098,leucine biosynthetic process
2,GO:0006631,fatty acid metabolic process
2,GO:0030261,chromosome condensation
2,GO:0006334,nucleosome assembly
2,GO:0039694,viral RNA genome replication
2,GO:0044205,'de novo' UMP biosynthetic process
2,GO:0019941,modification-dependent protein catabolic process
2,GO:0070490,protein pupylation
2,GO:0010498,proteasomal protein catabolic process
2,GO:0006306,DNA methylation
2,GO:0006304,DNA modification
2,GO:0044780,bacterial-type flagellum assembly
2,GO:0097264,self proteolysis
2,GO:0007264,small GTPase mediated signal transduction
2,GO:0006879,cellular iron ion homeostasis
2,GO:0019538,protein metabolic process
2,GO:0007166,cell surface receptor signaling pathway
2,GO:0015969,guanosine tetraphosphate metabolic process
2,GO:0009306,protein secretion
2,GO:0006730,one-carbon metabolic process
2,GO:0045900,negative regulation of translational elongation
2,GO:0006511,ubiquitin-dependent protein catabolic process
2,GO:0034453,microtubule anchoring
2,GO:0000902,cell morphogenesis
2,GO:0031564,transcription antitermination
2,GO:0015833,peptide transport
2,GO:0006098,pentose-phosphate shunt
2,GO:0000002,mitochondrial genome maintenance
2,GO:0009423,chorismate biosynthetic process
2,GO:0009073,aromatic amino acid family biosynthetic process
2,GO:0006950,response to stress
2,GO:0009405,pathogenesis
2,GO:0043044,ATP-dependent chromatin remodeling
2,GO:0015940,pantothenate biosynthetic process
2,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"
2,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules
2,GO:0030435,sporulation resulting in formation of a cellular spore
2,GO:0006526,arginine biosynthetic process
1,GO:0006430,lysyl-tRNA aminoacylation
1,GO:0006097,glyoxylate cycle
1,GO:0014032,neural crest cell development
1,GO:0014029,neural crest formation
1,GO:0006513,protein monoubiquitination
1,GO:0045151,acetoin biosynthetic process
1,GO:0006777,Mo-molybdopterin cofactor biosynthetic process
1,GO:0006437,tyrosyl-tRNA aminoacylation
1,GO:0031532,actin cytoskeleton reorganization
1,GO:0051056,regulation of small GTPase mediated signal transduction
1,GO:0048814,regulation of dendrite morphogenesis
1,GO:0006855,drug transmembrane transport
1,GO:0050808,synapse organization
1,GO:0101030,tRNA-guanine transglycosylation
1,GO:0006725,cellular aromatic compound metabolic process
1,GO:0042558,pteridine-containing compound metabolic process
1,GO:0000187,activation of MAPK activity
1,GO:0070814,hydrogen sulfide biosynthetic process
1,GO:0000103,sulfate assimilation
1,GO:0034472,snRNA 3'-end processing
1,GO:0016180,snRNA processing
1,GO:0035023,regulation of Rho protein signal transduction
1,GO:0090630,activation of GTPase activity
1,GO:0034613,cellular protein localization
1,GO:0070196,eukaryotic translation initiation factor 3 complex assembly
1,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
1,GO:0017038,protein import
1,GO:0019069,viral capsid assembly
1,GO:0061621,canonical glycolysis
1,GO:0042273,ribosomal large subunit biogenesis
1,GO:0007099,centriole replication
1,GO:1903723,negative regulation of centriole elongation
1,GO:0032465,regulation of cytokinesis
1,GO:0009448,gamma-aminobutyric acid metabolic process
1,GO:0003333,amino acid transmembrane transport
1,GO:0019878,lysine biosynthetic process via aminoadipic acid
1,GO:0045493,xylan catabolic process
1,GO:0006233,dTDP biosynthetic process
1,GO:0006235,dTTP biosynthetic process
1,GO:0048280,vesicle fusion with Golgi apparatus
1,GO:0017013,protein flavinylation
1,GO:0006527,arginine catabolic process
1,GO:2001295,malonyl-CoA biosynthetic process
1,GO:0006937,regulation of muscle contraction
1,GO:0032447,protein urmylation
1,GO:0043952,protein transport by the Sec complex
1,GO:0030244,cellulose biosynthetic process
1,GO:0051276,chromosome organization
1,GO:0016925,protein sumoylation
1,GO:0044208,'de novo' AMP biosynthetic process
1,GO:0009056,catabolic process
1,GO:0006163,purine nucleotide metabolic process
1,GO:0006741,NADP biosynthetic process
1,GO:0019674,NAD metabolic process
1,GO:0007005,mitochondrion organization
1,GO:0019427,acetyl-CoA biosynthetic process from acetate
1,GO:0006915,apoptotic process
1,GO:0070689,L-threonine catabolic process to propionate
1,GO:0031048,chromatin silencing by small RNA
1,GO:0006535,cysteine biosynthetic process from serine
1,GO:0006378,mRNA polyadenylation
1,GO:0006808,regulation of nitrogen utilization
1,GO:0043571,maintenance of CRISPR repeat elements
1,GO:0051607,defense response to virus
1,GO:0031460,glycine betaine transport
1,GO:0007268,chemical synaptic transmission
1,GO:0005986,sucrose biosynthetic process
1,GO:0010501,RNA secondary structure unwinding
1,GO:0002949,tRNA threonylcarbamoyladenosine modification
1,GO:0016539,intein-mediated protein splicing
1,GO:0006314,intron homing
1,GO:0042158,lipoprotein biosynthetic process
1,GO:0009103,lipopolysaccharide biosynthetic process
1,GO:0010468,regulation of gene expression
1,GO:1901601,strigolactone biosynthetic process
1,GO:0001510,RNA methylation
1,GO:0009102,biotin biosynthetic process
1,GO:0046113,nucleobase catabolic process
1,GO:0007219,Notch signaling pathway
1,GO:0006509,membrane protein ectodomain proteolysis
1,GO:0042065,glial cell growth
1,GO:0019226,transmission of nerve impulse
1,GO:0015886,heme transport
1,GO:0040003,chitin-based cuticle development
1,GO:0019518,L-threonine catabolic process to glycine
1,GO:0006226,dUMP biosynthetic process
1,GO:0046080,dUTP metabolic process
1,GO:0039523,suppression by virus of host RNA polymerase II activity
1,GO:0019083,viral transcription
1,GO:0051304,chromosome separation
1,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process
1,GO:0008299,isoprenoid biosynthetic process
1,GO:0006450,regulation of translational fidelity
1,GO:0009072,aromatic amino acid family metabolic process
1,GO:0045487,gibberellin catabolic process
1,GO:0009416,response to light stimulus
1,GO:0009294,DNA mediated transformation
1,GO:0001123,transcription initiation from bacterial-type RNA polymerase promoter
1,GO:0019303,D-ribose catabolic process
1,GO:0030254,protein secretion by the type III secretion system
1,GO:0009231,riboflavin biosynthetic process
1,GO:0044210,'de novo' CTP biosynthetic process
1,GO:0000271,polysaccharide biosynthetic process
1,GO:0032196,transposition
1,GO:0055114,oxidation-reduction process
1,GO:0006400,tRNA modification
1,GO:0006421,asparaginyl-tRNA aminoacylation
1,GO:0046373,L-arabinose metabolic process
1,GO:0016226,iron-sulfur cluster assembly
1,GO:0006869,lipid transport
1,GO:0006635,fatty acid beta-oxidation
1,GO:0009228,thiamine biosynthetic process
1,GO:0052865,1-deoxy-D-xylulose 5-phosphate biosynthetic process
1,GO:0009443,pyridoxal 5'-phosphate salvage
1,GO:0000724,double-strand break repair via homologous recombination
1,GO:0010133,proline catabolic process to glutamate
1,GO:0019985,translesion synthesis
1,GO:0031425,chloroplast RNA processing
1,GO:0019264,glycine biosynthetic process from serine
1,GO:0006434,seryl-tRNA aminoacylation
1,GO:0097056,selenocysteinyl-tRNA(Sec) biosynthetic process
1,GO:0016260,selenocysteine biosynthetic process
1,GO:0009408,response to heat
1,GO:0031204,"posttranslational protein targeting to membrane, translocation"
1,GO:0010183,pollen tube guidance
1,GO:0052547,regulation of peptidase activity
1,GO:0009253,peptidoglycan catabolic process
1,GO:0019430,removal of superoxide radicals
1,GO:0009450,gamma-aminobutyric acid catabolic process
1,GO:0036068,light-independent chlorophyll biosynthetic process
1,GO:0019685,"photosynthesis, dark reaction"
1,GO:0009411,response to UV
1,GO:0009239,enterobactin biosynthetic process
1,GO:0006289,nucleotide-excision repair
1,GO:0019510,S-adenosylhomocysteine catabolic process
1,GO:0043711,pilus organization
1,GO:0061077,chaperone-mediated protein folding
1,GO:0016579,protein deubiquitination
1,GO:0016310,phosphorylation
1,GO:0043335,protein unfolding
1,GO:0006269,"DNA replication, synthesis of RNA primer"
1,GO:0045982,negative regulation of purine nucleobase metabolic process
1,GO:0051103,DNA ligation involved in DNA repair
1,GO:0043392,negative regulation of DNA binding
1,GO:0045893,"positive regulation of transcription, DNA-templated"
1,GO:0007015,actin filament organization
1,GO:0006464,cellular protein modification process
1,GO:0019521,D-gluconate metabolic process
1,GO:0019646,aerobic electron transport chain
1,GO:0009059,macromolecule biosynthetic process
1,GO:0090529,cell septum assembly
1,GO:0000921,septin ring assembly
1,GO:0070475,rRNA base methylation
1,GO:0006102,isocitrate metabolic process
1,GO:0009166,nucleotide catabolic process
1,GO:0046952,ketone body catabolic process
1,GO:0008654,phospholipid biosynthetic process
1,GO:0006021,inositol biosynthetic process
1,GO:0015031,protein transport
1,GO:0046654,tetrahydrofolate biosynthetic process
1,GO:0006545,glycine biosynthetic process
1,GO:0006308,DNA catabolic process
1,GO:0019062,virion attachment to host cell
1,GO:0019064,fusion of virus membrane with host plasma membrane
1,GO:0039654,fusion of virus membrane with host endosome membrane
1,GO:0046761,viral budding from plasma membrane
1,GO:0075512,clathrin-dependent endocytosis of virus by host cell
1,GO:0007010,cytoskeleton organization
1,GO:0016477,cell migration
1,GO:0008218,bioluminescence
1,GO:0046336,ethanolamine catabolic process
1,GO:0006002,fructose 6-phosphate metabolic process
1,GO:0018160,peptidyl-pyrromethane cofactor linkage
1,GO:0015824,proline transport
1,GO:0006525,arginine metabolic process
1,GO:2000051,negative regulation of non-canonical Wnt signaling pathway
1,GO:1905515,non-motile cilium assembly
1,GO:0007224,smoothened signaling pathway
1,GO:0002062,chondrocyte differentiation
1,GO:0050680,negative regulation of epithelial cell proliferation
1,GO:0001649,osteoblast differentiation
1,GO:0045880,positive regulation of smoothened signaling pathway
1,GO:0060349,bone morphogenesis
1,GO:0033611,oxalate catabolic process
1,GO:0044097,secretion by the type IV secretion system
1,GO:0072583,clathrin-dependent endocytosis
1,GO:0016998,cell wall macromolecule catabolic process
1,GO:0006436,tryptophanyl-tRNA aminoacylation
1,GO:0009246,enterobacterial common antigen biosynthetic process
1,GO:0006032,chitin catabolic process
1,GO:0010124,phenylacetate catabolic process
1,GO:0006366,transcription by RNA polymerase II
1,GO:0031929,TOR signaling
1,GO:0006424,glutamyl-tRNA aminoacylation
1,GO:0071705,nitrogen compound transport
1,GO:0006793,phosphorus metabolic process
1,GO:0030163,protein catabolic process
1,GO:0001522,pseudouridine synthesis
1,GO:0019752,carboxylic acid metabolic process
1,GO:0015948,methanogenesis
1,GO:0009307,DNA restriction-modification system
1,GO:0016525,negative regulation of angiogenesis
1,GO:0039520,induction by virus of host autophagy
1,GO:0019082,viral protein processing
1,GO:0019079,viral genome replication
1,GO:0006064,glucuronate catabolic process
1,GO:0010847,regulation of chromatin assembly
1,GO:0043486,histone exchange
1,GO:0006694,steroid biosynthetic process
1,GO:0017004,cytochrome complex assembly
1,GO:0007275,multicellular organism development
1,GO:0009311,oligosaccharide metabolic process
1,GO:0048544,recognition of pollen
1,GO:0044571,[2Fe-2S] cluster assembly
1,GO:0018298,protein-chromophore linkage
1,GO:0035246,peptidyl-arginine N-methylation
1,GO:0006428,isoleucyl-tRNA aminoacylation
1,GO:0006168,adenine salvage
1,GO:0006166,purine ribonucleoside salvage
1,GO:0044209,AMP salvage
1,GO:0042254,ribosome biogenesis
1,GO:0019619,"3,4-dihydroxybenzoate catabolic process"
1,GO:0009298,GDP-mannose biosynthetic process
1,GO:0006423,cysteinyl-tRNA aminoacylation
1,GO:0006407,rRNA export from nucleus
1,GO:0031507,heterochromatin assembly
1,GO:0045727,positive regulation of translation
1,GO:1902600,proton transmembrane transport
1,GO:0002218,activation of innate immune response
1,GO:0002230,positive regulation of defense response to virus by host
1,GO:0050766,positive regulation of phagocytosis
1,GO:0002277,myeloid dendritic cell activation involved in immune response
1,GO:0070374,positive regulation of ERK1 and ERK2 cascade
1,GO:0031647,regulation of protein stability
1,GO:0050718,positive regulation of interleukin-1 beta secretion
1,GO:0050727,regulation of inflammatory response
1,GO:0032729,positive regulation of interferon-gamma production
1,GO:0097202,activation of cysteine-type endopeptidase activity
1,GO:0010506,regulation of autophagy
1,GO:0032755,positive regulation of interleukin-6 production
1,GO:2000406,positive regulation of T cell migration
1,GO:0009617,response to bacterium
1,GO:0042104,positive regulation of activated T cell proliferation
1,GO:0045087,innate immune response
1,GO:0030838,positive regulation of actin filament polymerization
1,GO:0032611,interleukin-1 beta production
1,GO:0090197,positive regulation of chemokine secretion
1,GO:0006954,inflammatory response
1,GO:0002588,positive regulation of antigen processing and presentation of peptide antigen via MHC class II
1,GO:0044351,macropinocytosis
1,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process
1,GO:0009245,lipid A biosynthetic process
1,GO:0051260,protein homooligomerization
1,GO:0035998,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
1,GO:0006415,translational termination
1,GO:0018142,protein-DNA covalent cross-linking
1,GO:0000820,regulation of glutamine family amino acid metabolic process
1,GO:0006069,ethanol oxidation
1,GO:0008202,steroid metabolic process
1,GO:0009060,aerobic respiration
1,GO:0031047,gene silencing by RNA
1,GO:0007033,vacuole organization
1,GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process
1,GO:0010739,positive regulation of protein kinase A signaling
1,GO:0090036,regulation of protein kinase C signaling
1,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process
1,GO:0009156,ribonucleoside monophosphate biosynthetic process
1,GO:0009165,nucleotide biosynthetic process
1,GO:0019318,hexose metabolic process
1,GO:0006568,tryptophan metabolic process
1,GO:0015977,carbon fixation
1,GO:0019299,rhamnose metabolic process
1,GO:0006107,oxaloacetate metabolic process
1,GO:0015979,photosynthesis
1,GO:0030494,bacteriochlorophyll biosynthetic process
1,GO:0051205,protein insertion into membrane
1,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly
1,GO:0050992,dimethylallyl diphosphate biosynthetic process
1,GO:0006811,ion transport
1,GO:0006119,oxidative phosphorylation
1,GO:0009225,nucleotide-sugar metabolic process
