ACCESSION,DESCRIPTION,NORM_INTENSITY_1,NORM_INTENSITY_2,NORM_INTENSITY_3,NORM_INTENSITY_4,NORM_INTENSITY_5,NORM_INTENSITY_6,NORM_INTENSITY_7,NORM_INTENSITY_8,NORM_INTENSITY_9,NORM_INTENSITY_10,NORM_INTENSITY_11,NORM_INTENSITY_12,NORM_INTENSITY_13,NORM_INTENSITY_14,NORM_INTENSITY_15,NORM_INTENSITY_16,NORM_INTENSITY_17
E9PUL3,Chloride channel accessory 3B OS=Mus musculus OX=10090 GN=Clca3b PE=1 SV=1 ,226183776,464321262,219441262,415236294,313241549,236928714,492928303,84954932,263706976,412595448,111860151,296771122,128788773,346855235,358205395,284050769,177755334
D3YZU1,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1 ,70248771,116869215,86120018,112841548,157112771,63327342,128989603,32200022,121585334,89430749,14132045,74565392,62476436,16593639,46056028,32874172,139892129
P34022,Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2 ,5086834,9640519,12703175,17281017,14451999,13019483,13176682,8548878,6270349,5734076,4277424,5043477,78939086,5825148,58456175,25835621,11705169
A0A0U1RNK6,S-adenosylmethionine synthase OS=Mus musculus OX=10090 GN=Mat2a PE=1 SV=1 ,85423277,102801875,99805784,138693217,209690314,131427072,153440228,85227100,131967345,142117295,156576604,67078148,187716676,151856379,219502732,275789457,78800559
A0A0N4SVT2,Cytosolic 10-formyltetrahydrofolate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Aldh1l1 PE=1 SV=1 ,23485710,8763988,6936773,1357690,115776719,14071127,54733171,3399877,51612927,14224975,152181,10497356,810992,690730,1020435,682142,40202656
P84228,Histone H3.2 OS=Mus musculus OX=10090 GN=Hist1h3b PE=1 SV=2 ,341647281,406917970,153651002,197498615,163445597,589664612,282180720,63677537,403839751,975679375,278420680,570430348,230826259,392180127,247779493,277534729,140529758
P67984,60S ribosomal protein L22 OS=Mus musculus OX=10090 GN=Rpl22 PE=1 SV=2 ,14917103,47743930,22442115,74529538,141532490,65272905,119451957,5753474,123628318,30510315,6773250,68301846,19924389,3033636,4413771,19992136,16280296
A0A0A6YWG2,Immunoglobulin heavy variable V1-5 (Fragment) OS=Mus musculus OX=10090 GN=Ighv1-5 PE=4 SV=1 ,136056205,60742624,192199751,58153815,132172655,177126522,100949255,81810218,75443650,60386318,51453371,109922243,32999005,8529239,157626864,56146421,121398857
Q9WTQ5,A-kinase anchor protein 12 OS=Mus musculus OX=10090 GN=Akap12 PE=1 SV=1 ,1698094,7490518,6358151,8112880,19909107,6278180,20166699,5520521,10025550,3090959,1061924,2237847,15458843,4763885,20980323,20580817,3705827
P26443,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1 ",73242478,118319635,47380101,85686806,119452453,86476600,113413284,50412645,159366184,152805895,96977132,128462169,360696253,258685116,382575525,413639946,156718781
P00920,Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4 ,2356815444,2438429481,1965651599,1918856209,659639240,2725104210,1147991484,1466397207,904869123,1603256413,1153813046,1435218009,773969638,675026819,644666653,743377153,1271398800
P07309,Transthyretin OS=Mus musculus OX=10090 GN=Ttr PE=1 SV=1 ,153748413,107130770,155313080,211676638,231107952,170933346,124329543,503255960,128918407,249039782,458223428,161849022,163717196,319785454,149047281,119962881,182594372
P47757,F-actin-capping protein subunit beta OS=Mus musculus OX=10090 GN=Capzb PE=1 SV=3 ,173369824,235081826,560423832,159113814,329019835,585326799,330336567,538091161,324801705,146521071,74556493,143644196,68070365,92940272,376965551,231320231,159829064
Q4KML4,Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1 ,8418295,6633390,11326369,7469696,13443384,10398362,8635710,4823518,6548952,4868594,792854,7110932,536940,2359176,5520267,716578,6291780
P47754,F-actin-capping protein subunit alpha-2 OS=Mus musculus OX=10090 GN=Capza2 PE=1 SV=3 ,149894948,162702500,171261883,138451597,128161716,225959387,74416507,111593426,87303685,173729144,100078774,136118826,116454268,152723835,132334067,161581698,102014402
P47753,F-actin-capping protein subunit alpha-1 OS=Mus musculus OX=10090 GN=Capza1 PE=1 SV=4 ,574076598,871538113,414993955,559831310,629220227,387846054,543359093,1006035808,455243585,561938537,54336113,833747652,71422958,61478471,46872906,63733701,426797174
D6RGB1,Aldo-keto reductase family 1 member C13 OS=Mus musculus OX=10090 GN=Akr1c13 PE=4 SV=1 ,91192534,113055730,114744565,102554233,30605002,181725937,77952493,39271380,58890580,107356711,9882534,73725215,23900424,1267751,21304258,13763874,74056797
Q91VK2,Eef1d protein OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1 ,154267517,226964819,39471648,241447860,282191042,38153148,366916468,328334370,51760170,301009807,14262237,111099475,65844484,41018199,127167657,228284741,266267785
A0A087WSP1,Mucin-2 (Fragment) OS=Mus musculus OX=10090 GN=Muc2 PE=1 SV=1 ,785194363,695326415,749941657,833976956,1024699621,690417189,789592798,1492038108,865832877,909851236,1068939414,822239567,1333915749,986983237,2234104824,1993119330,658854270
Q8VC28,Aldo-keto reductase family 1 member C13 OS=Mus musculus OX=10090 GN=Akr1c13 PE=1 SV=2 ,884563909,1374102053,665635101,1421100505,1877412513,1118332871,1947262327,455118494,1076755101,1364770427,362844273,1166084096,930762266,225348683,759820674,893261736,1686177671
A0A087WSP0,Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1 ,48110074,37373339,56035449,39954548,5130982,67408928,22367637,28566285,29889760,27489404,6725269,14476786,42879683,4239082,32058148,46203854,36533183
D3YZT5,Voltage-dependent anion-selective channel protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Vdac2 PE=1 SV=1 ,1762862,425743,495133,1289379,2591026,268791,604453,142382,1093263,6329705,1021304,4831388,148120,2648346,2547935,2112435,3308511
P46664,Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss PE=1 SV=2 ,44694246,23539721,48767085,99412395,121274474,20498376,74632631,241825621,55217815,58731586,62314772,81344546,38049484,3893524,44256722,128968337,54473248
Q8K1R3,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Pnpt1 PE=1 SV=1 ",14077034,16570001,30722086,3392450,9787166,6332650,6875536,45568421,10442101,7237531,18705944,3286455,19959441,94666022,24365765,9339121,7730279
A0A0U1RNJ1,Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=1 ,884364706,724681656,833105109,1120782535,715129772,716800711,984559559,644471386,749266591,940600741,1349985352,3829096629,1018698934,1114818476,929137361,1415085724,755115965
H3BLE7,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Mus musculus OX=10090 GN=Ppp2r1b PE=1 SV=1 ,20881152,8462296,27948457,6787435,23340773,18802072,19950139,19759883,11623747,6920122,10431386,7291456,5100937,12125682,12113416,15257500,25663424
A0A0G2JG04,Phosphoglucomutase-2 (Fragment) OS=Mus musculus OX=10090 GN=Pgm2 PE=1 SV=1 ,6681667,16593305,15385391,9083502,13118998,13959156,7673514,9271154,9355063,16809304,30989600,11165772,2588688,5952118,26579866,57230384,14986028
Q9WTP7,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Mus musculus OX=10090 GN=Ak3 PE=1 SV=3 ",54038315,160778541,1475277,66566821,60571870,34755536,90270399,29254628,127351260,51028604,12297497,60964970,13026731,18832900,13066848,30645887,37246745
O70370,Cathepsin S OS=Mus musculus OX=10090 GN=Ctss PE=1 SV=2 ,63693161,21214955,65272066,52421728,347058575,38784175,357193463,23442887,188272595,163029282,78875424,35980472,67219417,114427560,101139730,24102385,221016613
Q9WTP6,"Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2 PE=1 SV=5 ",31872414,26778411,44228543,41906924,60261975,73927415,28218714,31301338,54129976,46453744,308350777,60224809,110179443,471583649,118391253,187875980,55539621
Q60605,Myosin light polypeptide 6 OS=Mus musculus OX=10090 GN=Myl6 PE=1 SV=3 ,91753452,167985998,74768084,67081942,32318152,48306653,46202804,63208750,50144209,104959109,15023464,97486510,9622160,22834664,32804710,39931565,62001258
Q9WTP5,Cadherin-22 OS=Mus musculus OX=10090 GN=Cdh22 PE=1 SV=2 ,5204978,2570783,11576601,3011285,2323750,1039546,276249,7642274,2173057,2011708,11740680,976428,8133241,10631623,28928958,8747390,1192288
Q60604,Adseverin OS=Mus musculus OX=10090 GN=Scin PE=1 SV=3 ,357266335,334304220,403073078,393360511,575439774,388260933,461657407,366934114,560829519,343075506,465726688,189594787,319205389,364769893,400402237,337325124,350315752
Q80X19,Collagen alpha-1(XIV) chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=2 ,8355870,23817897,14664782,7007307,15622806,9814290,3071378,13879570,55429335,41705345,1396134,37115313,8836883,4740888,14230794,25579253,28474422
A0A140LJB5,Nucleosome assembly protein 1-like 4 (Fragment) OS=Mus musculus OX=10090 GN=Nap1l4 PE=1 SV=1 ,12165863,14458510,18054290,26949010,34610081,4351689,26458176,4888384,29696840,6710960,23150693,7220852,27617522,44899615,3981971,25976412,16463297
D3Z5G7,Carboxylic ester hydrolase OS=Mus musculus OX=10090 GN=Ces1b PE=1 SV=1 ,154487606,97833327,789576679,153789104,498197363,246988348,385521748,275072921,186432230,636073117,134905231,194964468,412487127,240120440,184451329,196623372,304447404
D9J302,ENH isoform 1e OS=Mus musculus OX=10090 GN=Pdlim5 PE=1 SV=1 ,4905782,4870734,4132559,2109756,3103531,5636312,941117,1138647,2696715,6325991,30951799,6191452,30682939,3480012,12918903,18203112,4866163
D9J301,ENH isoform 1d OS=Mus musculus OX=10090 GN=Pdlim5 PE=1 SV=1 ,4905782,4870734,4132559,2109756,3103531,5636312,941117,1138647,2696715,6325991,30951799,6191452,30682939,3480012,12918903,18203112,4866163
D9J300,ENH isoform 1c OS=Mus musculus OX=10090 GN=Pdlim5 PE=1 SV=1 ,4905782,4870734,4132559,2109756,3103531,5636312,941117,1138647,2696715,6325991,30951799,6191452,30682939,3480012,12918903,18203112,4866163
A2A4X6,MCG21910 OS=Mus musculus OX=10090 GN=Gm12355 PE=4 SV=1 ,7146690,8928724,36653927,135162728,18219517,31923444,16475734,50878183,33769995,19214663,9099830,23254969,16644460,19632149,7808927,69590071,10486364
Q58EV3,Major urinary protein 1 OS=Mus musculus OX=10090 GN=Mup7 PE=2 SV=1 ,104505109,59535374,121579023,104284677,132861785,73179756,98558650,69395522,114056218,303789283,197574208,121396850,88890601,140787949,171475538,161021309,104174030
E9Q6J5,Biorientation of chromosomes in cell division protein 1-like 1 OS=Mus musculus OX=10090 GN=Bod1l PE=1 SV=1 ,1438250,7674640,3952441,5919806,235280,3069135,7269045,82921,3680776,3851473,38521079,2120042,1485174,41041020,22305972,1859537,421125
A0A1W2P7X0,Costars family protein ABRACL (Fragment) OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1 ,8418295,6633390,11326369,7469696,13443384,10398362,8635710,4823518,6548952,4868594,792854,7110932,536940,2359176,5520267,716578,6291780
A0A0N4SVR6,"RAB7, member RAS oncogene family OS=Mus musculus OX=10090 GN=Rab7 PE=1 SV=1 ",40917975,12763557,23982260,32172078,28673558,45675206,34101509,21492777,15726860,28862521,6381545,60011695,36238825,10321236,46050253,44429060,80464657
Q6ZWN5,40S ribosomal protein S9 OS=Mus musculus OX=10090 GN=Rps9 PE=1 SV=3 ,204600066,148540701,145251272,162491014,214278021,176597097,255886657,74163432,183638186,179422094,205691893,194647565,268420457,410626887,335958975,287407763,190305902
F7ANV6,Annexin (Fragment) OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=1 ,248609197,116598905,152526635,491086568,258783943,237094487,346161552,180035330,316461511,123828415,212154386,121737169,411363379,486125514,288214702,543878398,137712533
P16675,Lysosomal protective protein OS=Mus musculus OX=10090 GN=Ctsa PE=1 SV=1 ,83659562,61532861,90413653,164490990,138490374,79348918,105107159,75036963,90578042,88593546,85388482,90182163,60110377,110190424,71571452,93142502,69104810
A0A0G2JFN8,Immunoglobulin kappa variable 8-19 (Fragment) OS=Mus musculus OX=10090 GN=Igkv8-19 PE=1 SV=4 ,123664705,407910048,196300096,383262448,53298405,98100190,139043751,92319484,468009397,371606995,83846273,200811488,134593191,87256281,153631691,219192763,42396649
Q9DBG3,AP-2 complex subunit beta OS=Mus musculus OX=10090 GN=Ap2b1 PE=1 SV=1 ,77641287,85733666,70858100,112195772,139608111,72952885,86176248,35695539,122295256,77789418,34807568,83100976,116262792,120986318,113266044,136611422,96729064
Q8CCM0,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus OX=10090 GN=Camk2d PE=1 SV=1 ,25932597,48876174,22470923,36570068,40892990,23299249,40841227,5691523,51319118,11811752,9215693,58153913,6295594,13148849,11960591,30301996,35789792
Q3ULJ0,Glycerol-3-phosphate dehydrogenase 1-like protein OS=Mus musculus OX=10090 GN=Gpd1l PE=1 SV=2 ,28649657,44135440,61975282,59360831,107657282,65280456,84166246,33151642,48441891,72725608,120356447,61339162,44855785,36013635,55406820,45500060,67155520
Q99JY9,Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3 ,439753157,349218732,101043792,518310347,464678948,130861514,401029067,309043726,607510996,352781789,165003685,367671571,90479092,52369625,184324988,159021737,285719052
P47738,"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1 ",1364470702,287127812,636621795,683360604,1901373689,416879875,643909409,303191973,786357857,729153452,5006957499,1411084998,2369148965,869977670,1034381827,2271138738,625923775
A0A087WSN6,Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1 ,3764636,4142688,1799499,1357867,4836828,2190613,2573927,1145823,6246416,2828656,8101798,1783270,2994042,10855518,10181306,33919352,3416648
Q91VI7,Ribonuclease inhibitor OS=Mus musculus OX=10090 GN=Rnh1 PE=1 SV=1 ,624656684,470768896,386036713,637154886,529190019,273835561,496713520,80670239,667454316,697102097,362719418,433567682,96103042,76912646,83576728,59625686,276065624
L7N1Y0,"Dynein, axonemal, heavy chain 7B OS=Mus musculus OX=10090 GN=Dnah7b PE=1 SV=1 ",128588772,75386672,90379227,212028627,347406539,75446046,351702436,20588501,139033280,147495773,20873869,167941706,162427603,44525641,224390259,220705296,182713032
F6Q404,Protein disulfide-isomerase A3 (Fragment) OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=1 ,61716222,39770991,59482980,50540142,94688853,135045615,75187228,57254238,65650385,124638921,58408744,56599574,70542395,40539040,47797962,72778972,63846991
A0A1W2P7W3,"Protein tyrosine phosphatase, receptor type, B, isoform CRA_b OS=Mus musculus OX=10090 GN=Ptprb PE=1 SV=1 ",10777596,17147931,25931595,31128363,7729149,23437410,3702445,8771817,5564618,11101296,5796143,10144355,24215524,9355532,14888317,37977586,11672880
E9Q6I5,Coatomer subunit epsilon OS=Mus musculus OX=10090 GN=Cope PE=1 SV=1 ,4534235,59879058,5526345,172664401,27113163,10744615,20409282,3507337,16667453,28230580,1018095,19004540,8389634,1030800,148725,10763351,15775762
Q9CZY3,Ubiquitin-conjugating enzyme E2 variant 1 OS=Mus musculus OX=10090 GN=Ube2v1 PE=1 SV=1 ,18184995,12015104,33761922,11458260,30957833,25242681,28213840,21592126,16410428,11775778,3739812,27358551,62959368,25299958,136877948,16260611,14206589
F7BP55,"Adenylate kinase 2, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Ak2 PE=1 SV=1 ",13147213,2576234,18098133,12355025,12526750,30743909,6278139,5770976,8413508,7652372,368059,1997164,56689715,8786933,20169410,88289508,16507977
A0A286YE28,Transketolase (Fragment) OS=Mus musculus OX=10090 GN=Tkt PE=1 SV=1 ,1120437454,1091938161,1357063906,1145079855,702049291,1779345824,864732083,1110046553,545230284,854872574,515807198,741868620,1343292172,1330960100,721375082,1330922887,946876745
Q6ZQA0,Neurobeachin-like protein 2 OS=Mus musculus OX=10090 GN=Nbeal2 PE=1 SV=2 ,56364018,18932718,50638620,9091241,21520542,62233480,34170748,13236396,56341557,21176098,10018992,30680149,3396608,9110047,1436481,6507661,162674418
P17751,Triosephosphate isomerase OS=Mus musculus OX=10090 GN=Tpi1 PE=1 SV=4 ,1135693453,1184454880,1183528991,1057873199,470845674,1494875157,623074702,1049901843,505359928,867707205,2164820193,833461960,720842149,683071680,522847592,888658628,887589298
Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1 PE=1 SV=4 ,2081127,15769829,20464717,11864313,54488841,3967986,35289062,10735483,61864286,6112069,184583724,7972077,97431593,170503168,112496412,102098021,4100938
H3BLC4,Harmonin OS=Mus musculus OX=10090 GN=Ush1c PE=1 SV=1 ,8742278,10198012,9699109,5587642,11924589,8262339,16754204,5498875,7698902,11772630,9457879,6063818,10651099,12162153,6932508,17141073,9141210
A0A3Q4EHS3,Proteasome subunit alpha-type 7-like OS=Mus musculus OX=10090 GN=Psma8 PE=4 SV=1 ,13918962,14676522,22218333,16585900,42921149,31514061,22133591,13424549,12584498,37552796,1810119,16029753,3216804,2751370,1155941,23651975,55170722
Q9R069,Basal cell adhesion molecule OS=Mus musculus OX=10090 GN=Bcam PE=1 SV=1 ,10527829,13755174,84604510,313163444,6516180,2593871,20322472,14347297,87765241,7183366,96897269,8013338,62576134,71556471,24939611,98589544,12336617
Q3TQV3,Adapter molecule crk OS=Mus musculus OX=10090 GN=Crk PE=1 SV=1 ,9675727,30149715,12455408,7662239,20656322,10964899,9832922,10474905,5538497,32672119,2629721,15943435,17100887,10144158,11291008,10262363,10830541
P14483,"H-2 class II histocompatibility antigen, A beta chain OS=Mus musculus OX=10090 GN=H2-Ab1 PE=1 SV=1 ",66997625,298842566,117466144,54196272,206679063,164247618,255164190,77605782,201505858,60651813,435851799,67886188,178075792,237246516,147862386,248124862,113188832
G3UZZ9,"Serine hydroxymethyltransferase, cytosolic (Fragment) OS=Mus musculus OX=10090 GN=Shmt1 PE=1 SV=1 ",73306693,81361941,83196651,96760630,132406770,142910258,131374428,39334773,125936570,203274827,9489660,123245167,128634919,95809665,109555241,35329645,114190737
D3YZQ9,L-lactate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=2 ,1081716615,1119517223,1121820797,878761758,811171231,1377638108,2713368282,896866638,684126934,835807444,671805854,861624040,919607304,3845970234,1816607942,530097943,849989849
P46638,Ras-related protein Rab-11B OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=3 ,61978147,61449573,35053120,161137365,296775277,197817721,219021411,790071325,207309295,258651682,524693604,149640131,776890353,1178982914,593900860,513090904,327191036
D3Z5E2,Heat shock cognate 71 kDa protein (Fragment) OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1 ,465140446,660998883,435908182,463097690,209210972,453363893,335666750,238073731,239190112,504196114,270382329,389160301,155494069,188908189,208598021,179404730,211155806
Q9CZX8,40S ribosomal protein S19 OS=Mus musculus OX=10090 GN=Rps19 PE=1 SV=3 ,142569210,65209249,142560430,176146485,344232036,102921721,77072907,56185381,83580029,73113162,35457736,436024856,59889149,105337898,56953494,65085945,215600835
F7D232,Adapter molecule crk (Fragment) OS=Mus musculus OX=10090 GN=Crk PE=1 SV=1 ,4691912,11567252,5318226,15205481,299313737,5631986,193230549,2427649,63897447,52193370,831144,63473686,174075,708299,1924038,208246,3450915
A0A1W2P871,T-complex protein 1 subunit beta (Fragment) OS=Mus musculus OX=10090 GN=Cct2 PE=1 SV=1 ,8604720,1738861,6143767,448160,2891039,3041609,4594746,5132374,627760,343758,189181193,478926,166430059,123237529,14971582,290831019,7257286
Q00623,Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2 ,58242619,82289467,41087163,76325702,89847584,63519412,45033614,58208610,111819691,57200589,79201292,56187433,35801559,45136206,58852330,42062159,54637639
A0A0U1RNG5,Ras GTPase-activating-like protein IQGAP1 (Fragment) OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2 ,17970802,23165861,26489992,28508815,36797429,12761231,14657099,14717146,13266827,31305052,10848864,36989814,4924552,10738187,12055456,18746440,50079610
P17742,Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=2 ,716654402,543105446,824578801,322049034,258134045,1074245135,327654904,565725708,248432889,478206640,20723908,212874649,56816845,44778339,72348779,78647705,488308837
Q5RKN9,F-actin-capping protein subunit alpha OS=Mus musculus OX=10090 GN=Capza1 PE=1 SV=1 ,578675835,882173245,418785444,568603791,644903881,392492780,554771201,1008453415,472076944,564666927,54902611,837251954,93206142,62498735,60430052,94417694,428552235
A0A0A6YWC8,Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=1 ,44609856,28840088,71326775,266875197,65623877,19654854,45670515,244378968,216143528,51450712,69669344,45574455,141119920,44073267,216559629,153642215,46653438
A0A0A6YWC7,Immunoglobulin heavy variable 5-15 (Fragment) OS=Mus musculus OX=10090 GN=Ighv5-15 PE=4 SV=1 ,20221787,21749723,15160265,47246493,81474357,20156862,35566666,33703480,114274601,19839144,30009649,19948262,204963082,23963333,63518124,152434580,15335477
Q9DBE0,Cysteine sulfinic acid decarboxylase OS=Mus musculus OX=10090 GN=Csad PE=1 SV=1 ,16525893,16198942,38554077,38529030,44405606,17044446,86630157,172080002,35252983,12367965,135730226,10590479,153067401,249338684,41242082,90517250,12828155
A0A0G2JFL3,Immunoglobulin heavy variable 1-71 (Fragment) OS=Mus musculus OX=10090 GN=Ighv1-71 PE=4 SV=1 ,111893029,155552690,74296221,213541819,217393465,100481869,137486868,13436656,209588322,123112702,69908473,110786098,18125961,96377596,91825958,45731469,169776249
A0A3Q4EHR5,Epithelial cell adhesion molecule (Fragment) OS=Mus musculus OX=10090 GN=Epcam PE=1 SV=1 ,2003723,1265932,2435245,1934614,3076766,6493069,4749556,102842,1110611,2730907,474756,8267169,461686,147136,268757,70499,2788827
Q3U367,4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh9a1 PE=1 SV=1 ,146938969,151417650,194313027,247303204,247872412,168560371,247612373,233457221,225720706,191039574,396985730,179354925,475545653,435125472,402080654,530837116,175839196
contaminant_GR78_PIG,owl|P34935| 78 KD GLUCOSE REGULATED PROTEIN (GRP 78) (IMMUNOGLOBULIN HEAVY... ,98098412,82830214,41507662,130863869,63784745,78375432,84493479,108120933,56629749,134362013,113958065,133583606,124036800,236045993,173488023,143489220,84336295
Q4VWZ5,Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=1 ,256827681,219453855,264879672,378229071,176456242,327143509,209024903,139548408,112283881,174505576,35904540,55857848,106450528,36202957,28324057,72717702,140299714
F6ZV59,Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpd PE=1 SV=1 ,17846943,10348505,24147080,13176392,34488609,7730396,39286371,16186933,68102668,18359668,20880708,16593406,6946923,2399265,26295249,9111338,17986604
B2RUJ8,Rho GTPase-activating protein 12 OS=Mus musculus OX=10090 GN=Arhgap12 PE=1 SV=1 ,17100132,26542049,10355096,10435910,15848987,11203380,11626987,10310480,8348479,10293928,18382526,7631608,94667649,48709948,70781731,55260552,8205473
Q812A2,SLIT-ROBO Rho GTPase-activating protein 3 OS=Mus musculus OX=10090 GN=Srgap3 PE=1 SV=1 ,84593048,54613277,44307758,53992070,77235017,33092587,41456652,36207833,68306053,63430196,28547769,52276894,37133764,56274843,28535926,49084076,33113020
A0A087WSL5,Tubulin alpha-4A chain (Fragment) OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1 ,5228055,6848691,57878084,19179993,1579377,29949347,2904808,7295152,1909678,6764969,14510077,8128798,1590808,17107484,6540364,7873445,6197592
Q99JW5,Epithelial cell adhesion molecule OS=Mus musculus OX=10090 GN=Epcam PE=1 SV=1 ,6812571,6451307,10829178,9428004,15888680,18767042,12276701,4182745,6013398,15774410,6645071,14772249,2073206,4646448,9639440,13313688,14042161
Z4YMQ5,Epithelial-splicing regulatory protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Esrp1 PE=1 SV=1 ,469002150,402809469,236266944,328484110,82058917,233806735,54225226,45374664,47121769,297727144,593913454,281230627,16175448,418923624,30878380,81364488,512933489
